query_id,description,desired_package,package_description,query_text,,,,url,time used(ms),time used(s)
15,interface with Dynamixel servo motors,dynamixel_motor,"This stack contains packages that are used to interface with Robotis    Dynamixel line of servo motors. This stack was tested with and fully    supports AX-12, AX-18, RX-24, RX-28, MX-28, RX-64, MX-64, EX-106 and    MX-106 models.",Dynamixel interface with servo motors,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=Dynamixel interface with servo motors&section=pkgs,http://127.0.0.1:4000/search/?term=Dynamixel interface with servo motors&section=pkgs,16.6,0.0166
16,tutorials for dynamixel robot,dynamixel_tutorials,Example configuration and launch file for dynamixel_motor stack.,Dynamixel tutorial,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=Dynamixel tutorial&section=pkgs,http://127.0.0.1:4000/search/?term=Dynamixel tutorial&section=pkgs,4.9,0.0049
17,convert OpenCV images to ROS image messages,cv_bridge,"This contains CvBridge, which converts between ROS    Image messages and OpenCV images.","convert images,ROS Image messages,OpenCV images",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=convert images,ROS Image messages,OpenCV images&section=pkgs","http://127.0.0.1:4000/search/?term=convert images,ROS Image messages,OpenCV images&section=pkgs",12.6,0.0126
18,calibrate parameters for image with OpenCV,image_geometry,"`image_geometry` contains C++ and Python libraries for interpreting images    geometrically. It interfaces the calibration parameters in sensor_msgs/CameraInfo    messages with OpenCV functions such as image rectification, much as cv_bridge    interfaces ROS sensor_msgs/Image with OpenCV data types.","interpreting images,calibration OpenCV,sensor_msgs/Image",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=interpreting images,calibration OpenCV,sensor_msgs/Image&section=pkgs","http://127.0.0.1:4000/search/?term=interpreting images,calibration OpenCV,sensor_msgs/Image&section=pkgs",3.3,0.0033
19,simulate turtlebot2 in gazebo,turtlebot_gazebo,Gazebo launchers and worlds for TurtleBot simulation,"Turtlebot2 Gazebo,simulation",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=Turtlebot2 Gazebo,simulation&section=pkgs","http://127.0.0.1:4000/search/?term=Turtlebot2 Gazebo,simulation&section=pkgs",2.8,0.0028
20,open dashboard for turtlebot2,turtlebot_dashboard,Launchers for the base-specific dashboards,Turtlebot2 dashboard,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=Turtlebot2 dashboard&section=pkgs,http://127.0.0.1:4000/search/?term=Turtlebot2 dashboard&section=pkgs,3.5,0.0035
21,automatic docking for kobuki,kobuki_auto_docking,"Automatic docking for Kobuki:	    Users owning a docking station for Kobuki can use this tool to let Kobuki find its nest autonomously.",Kobuki automatic docking,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=Kobuki automatic docking&section=pkgs,http://127.0.0.1:4000/search/?term=Kobuki automatic docking&section=pkgs,5.3,0.0053
22,view the real time image,image_view,A simple viewer for ROS image topics. Includes a specialized viewer  for stereo + disparity images.,"simple viewer,ROS image topics",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=simple viewer,ROS image topics&section=pkgs","http://127.0.0.1:4000/search/?term=simple viewer,ROS image topics&section=pkgs",14.4,0.0144
23,start the tb2 robot,turtlebot_bringup,turtlebot_bringup provides roslaunch scripts for starting the TurtleBot base functionality.,starting the TurtleBot2,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=starting the TurtleBot2&section=pkgs,http://127.0.0.1:4000/search/?term=starting the TurtleBot2&section=pkgs,3.8,0.0038
24,turtlebot2 create maps with gmapping algorithm,turtlebot_navigation,turtlebot_navigation,Turtlebot2 create maps navigation,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=Turtlebot2 create maps navigation&section=pkgs,http://127.0.0.1:4000/search/?term=Turtlebot2 create maps navigation&section=pkgs,61.9,0.0619
25,visualize turtlebot2 with rviz,turtlebot_rviz_launchers,Launchers for visualizing TurtleBot,visualize turtlebot2 rviz,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=visualize turtlebot2 rviz&section=pkgs,http://127.0.0.1:4000/search/?term=visualize turtlebot2 rviz&section=pkgs,19.6,0.0196
26,use joysticks or keyboard to teleoperate tb2,turtlebot_teleop,Provides teleoperation using joysticks or keyboard.,teleoperate turtlebot2 use joysticks,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=teleoperate turtlebot2 use joysticks&section=pkgs,http://127.0.0.1:4000/search/?term=teleoperate turtlebot2 use joysticks&section=pkgs,13.9,0.0139
27,save the map,map_server,map_server provides the,save the map,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=save the map&section=pkgs,http://127.0.0.1:4000/search/?term=save the map&section=pkgs,95.3,0.0953
28,modify parameter with rqt plugin,rqt_reconfigure,"This rqt plugin succeeds former dynamic_reconfigure's GUI    (reconfigure_gui), and provides the way to view and edit the parameters    that are accessible via dynamic_reconfigure.","modify the parameters,rqt plugin",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=modify the parameters,rqt plugin&section=pkgs","http://127.0.0.1:4000/search/?term=modify the parameters,rqt plugin&section=pkgs",13.1,0.0131
29,start Baxter in Gazebo world,baxter_gazebo,Baxter Gazebo plugins and launch files,baxter gazebo,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=baxter gazebo&section=pkgs,http://127.0.0.1:4000/search/?term=baxter gazebo&section=pkgs,96.7,0.0967
30,metapackage for baxter simulation,baxter_simulator,Metapackage - Baxter Research Robot Gazebo Simulation,baxter simulation,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=baxter simulation&section=pkgs,http://127.0.0.1:4000/search/?term=baxter simulation&section=pkgs,40.4,0.0404
31,compensate the gravity for baxter in gazebo,baxter_sim_kinematics,"Baxter Kinematics for the FK, IK and the gravity compensation calculations",baxter compensate the gravity gazebo,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=baxter compensate the gravity gazebo&section=pkgs,http://127.0.0.1:4000/search/?term=baxter compensate the gravity gazebo&section=pkgs,20.3,0.0203
32,simulate the hardware interfaces for Baxter in Gazebo,baxter_sim_hardware,Publishes the state information and emulates few hardware interfaces for use with Baxter    in Gazebo,baxter simulate the hardware interfaces gazebo,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=baxter simulate the hardware interfaces gazebo&section=pkgs,http://127.0.0.1:4000/search/?term=baxter simulate the hardware interfaces gazebo&section=pkgs,391.9,0.3919
33,baxter samples in gazebo,baxter_sim_examples,The baxter_sim_examples package,"baxter samples,gazebo",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=baxter samples,gazebo&section=pkgs","http://127.0.0.1:4000/search/?term=baxter samples,gazebo&section=pkgs",5.5,0.0055
34,baxter controller in gazebo,baxter_sim_controllers,Baxter specific controllers for Gazebo use,"baxter controller,gazebo",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=baxter controller,gazebo&section=pkgs","http://127.0.0.1:4000/search/?term=baxter controller,gazebo&section=pkgs",4.1,0.0041
35,description package for baxter robot,baxter_description,Description of Baxter Research Robot from Rethink Robotics.    This package contains the URDF and meshes describing Baxter.,"baxter URDF,mesh",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=baxter URDF,mesh&section=pkgs","http://127.0.0.1:4000/search/?term=baxter URDF,mesh&section=pkgs",49.7,0.0497
36,Message package for baxter,baxter_core_msgs,Messages and Services required for communication with the Baxter    Research Robot from Rethink Robotics.,baxter,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=baxter&section=pkgs,http://127.0.0.1:4000/search/?term=baxter&section=pkgs,7.8,0.0078
37,teleoperate hector quadrotor with joystick,hector_quadrotor_teleop,hector_quadrotor_teleop enables quadrotor flying with a joystick by     processing joy/Joy messages and translating them to geometry_msgs/Twist.,"hector quadrotor,joystick",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=hector quadrotor,joystick&section=pkgs","http://127.0.0.1:4000/search/?term=hector quadrotor,joystick&section=pkgs",19,0.019
38,supply plugins for hector quadrotor in gazebo,hector_quadrotor_gazebo_plugins,hector_quadrotor_gazebo_plugins provides gazebo plugins for using quadrotors in gazebo.     The hector_gazebo_ros_baro sensor plugin simulates an altimeter based on barometric pressure.     hector_quadrotor_simple_controller is a simple controller allowing to command the quadrotor's velocity     using a geometry_msgs/Twist message for teleoperation just by means of applying forces and torques to the model.,"supply plugins gazebo,hector quadrotor",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=supply plugins gazebo,hector quadrotor&section=pkgs","http://127.0.0.1:4000/search/?term=supply plugins gazebo,hector quadrotor&section=pkgs",145.8,0.1458
39,start the hector quadrotor in gazebo simulator,hector_quadrotor_gazebo,hector_quadrotor_gazebo provides a quadrotor model for the gazebo simulator.     It can be commanded using geometry_msgs/Twist messages.,"quadrotor,heactor,gazebo",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=quadrotor,heactor,gazebo&section=pkgs","http://127.0.0.1:4000/search/?term=quadrotor,heactor,gazebo&section=pkgs",3.4,0.0034
40,describe the hector quadrotor UAV with URDF model,hector_quadrotor_description,hector_quadrotor_description provides an URDF model of a quadrotor UAV.,"URDF model,quadrotor UAV,heactor quadrotor",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=URDF model,quadrotor UAV,heactor quadrotor&section=pkgs","http://127.0.0.1:4000/search/?term=URDF model,quadrotor UAV,heactor quadrotor&section=pkgs",12.1,0.0121
41,demonstrations for hector quadrotor,hector_quadrotor_demo,hector_quadrotor_demo contains various launch files and needed dependencies for demonstration of the hector_quadrotor stack (indoor/outdoor flight in gazebo etc.),"demonstration,heator quadrotor",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=demonstration,heator quadrotor&section=pkgs","http://127.0.0.1:4000/search/?term=demonstration,heator quadrotor&section=pkgs",5.8,0.0058
42,demonstrations for crazyflie,crazyflie_demo,"Examples on how to use the crazyflie package (teleoperation, rviz integration)",crazyflie demostration,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=crazyflie demostration&section=pkgs,http://127.0.0.1:4000/search/?term=crazyflie demostration&section=pkgs,3.4,0.0034
43,driver package for crazyflie,crazyflie_driver,ROS driver for Crazyflie Nano Quadcopter from Bitcraze,crazyflie driver,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=crazyflie driver&section=pkgs,http://127.0.0.1:4000/search/?term=crazyflie driver&section=pkgs,11.2,0.0112
44,description package to provide URDF model for crazyflie robot,crazyflie_description,URDF Model for the Crazyflie Nano Quadcopter from Bitcraze,crazyflie URDF model,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=crazyflie URDF model&section=pkgs,http://127.0.0.1:4000/search/?term=crazyflie URDF model&section=pkgs,9.7,0.0097
45,PID controller for navigation of crazyflie,crazyflie_controller,Controller to fly a Crazyflie in a space with location feedback (such as motion capture).,crazyflie navigation PID controller,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=crazyflie navigation PID controller&section=pkgs,http://127.0.0.1:4000/search/?term=crazyflie navigation PID controller&section=pkgs,31.7,0.0317
46,package that includes tools for bebop,bebop_tools,Miscellaneous tools for bebop_autonomy metapackage,"bebop,tools",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=bebop,tools&section=pkgs","http://127.0.0.1:4000/search/?term=bebop,tools&section=pkgs",1.5,0.0015
47,Message package for bebop robot,bebop_msgs,Common message definitions for bebop_autonomy,bebop,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=bebop&section=pkgs,http://127.0.0.1:4000/search/?term=bebop&section=pkgs,4.3,0.0043
48,package that includes bebop_driver_node node,bebop_driver,"ROS driver for Parrot Bebop drone, based on Parrot’s official ARDroneSDK3",bebop bebop_driver_node,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=bebop bebop_driver_node&section=pkgs,http://127.0.0.1:4000/search/?term=bebop bebop_driver_node&section=pkgs,4.1,0.0041
49,description package for bebop robot,bebop_description,URDF robot description for Parrot Bebop Drones,"bebop,URDF",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=bebop,URDF&section=pkgs","http://127.0.0.1:4000/search/?term=bebop,URDF&section=pkgs",3.8,0.0038
50,use python to implement rosserial protocol,rosserial_python,A Python-based implementation of the rosserial protocol.,"python,rosserial protocol",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=python,rosserial protocol&section=pkgs","http://127.0.0.1:4000/search/?term=python,rosserial protocol&section=pkgs",5.6,0.0056
51,"save audio from microphone or mp3 file, and play the audio",audio_capture,Transports audio from a source to a destination. Audio sources can come      from a microphone or file. The destination can play the audio or save it      to an mp3 file.,"save audio,play audio, microphone,mp3 file,audio",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=save audio,play audio, microphone,mp3 file,audio&section=pkgs","http://127.0.0.1:4000/search/?term=save audio,play audio, microphone,mp3 file,audio&section=pkgs",11.6,0.0116
52,play the audio,audio_play,Outputs audio to a speaker from a source node.,"play audio,audio",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=play audio,audio&section=pkgs","http://127.0.0.1:4000/search/?term=play audio,audio&section=pkgs",4.3,0.0043
53,translate command from ROS topic,sound_play,sound_play provides a ROS node that translates commands on a ROS topic (,translate commaond,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=translate commaond&section=pkgs,http://127.0.0.1:4000/search/?term=translate commaond&section=pkgs,3.5,0.0035
54,Message package for audio,audio_common_msgs,Messages for transmitting audio via ROS,audio,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=audio&section=pkgs,http://127.0.0.1:4000/search/?term=audio&section=pkgs,3.3,0.0033
55,audio monitor of rospeex based on browser,rospeex_webaudiomonitor,This package provides a browser-based waveform monitor of rospeex's (beta version).    This package requires an external web browser: Google Chrome or Firefox.,"audio monitor based on browser rospeex,web monitor",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=audio monitor based on browser rospeex,web monitor&section=pkgs","http://127.0.0.1:4000/search/?term=audio monitor based on browser rospeex,web monitor&section=pkgs",14.7,0.0147
56,give some examples for rospeex,rospeex_samples,This package provides some rospeex samples.,give rospeex examples,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=give rospeex examples&section=pkgs,http://127.0.0.1:4000/search/?term=give rospeex examples&section=pkgs,12.5,0.0125
57,Message package for rospeex,rospeex_msgs,This package defines messages used in rospeex.,rospeex,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=rospeex&section=pkgs,http://127.0.0.1:4000/search/?term=rospeex&section=pkgs,5.3,0.0053
58,provide launches for rospeex,rospeex_launch,This package launches rospeex's core nodes.,provide launches rospeex,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=provide launches rospeex&section=pkgs,http://127.0.0.1:4000/search/?term=provide launches rospeex&section=pkgs,13.7,0.0137
59,package that includes interface libraries for rospeex,rospeex_if,This package provides interface libraries on C++ and Python.,include interface library rospeex,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=include interface library rospeex&section=pkgs,http://127.0.0.1:4000/search/?term=include interface library rospeex&section=pkgs,80.1,0.0801
60,package that includes core nodes for rospeex,rospeex_core,This package provides rospeex's core nodes.,include core node rospeex,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=include core node rospeex&section=pkgs,http://127.0.0.1:4000/search/?term=include core node rospeex&section=pkgs,38,0.038
61,audio monitor of rospeex,rospeex_audiomonitor,This package provides a stable waveform monitor of rospeex's (recommended).    This package requires an external library: qtmobility-dev.,audio monitor rospeex,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=audio monitor rospeex&section=pkgs,http://127.0.0.1:4000/search/?term=audio monitor rospeex&section=pkgs,10,0.01
62,metapackage for rospeex,rospeex,Meta package for rospeex packages.,rospeex,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=rospeex&section=pkgs,http://127.0.0.1:4000/search/?term=rospeex&section=pkgs,3.3,0.0033
63,detect faces from images,face_detector,Face detection in images.,"detect faces,image",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=detect faces,image&section=pkgs","http://127.0.0.1:4000/search/?term=detect faces,image&section=pkgs",3.5,0.0035
64,plot scalar data,rqt_plot,rqt_plot provides a GUI plugin visualizing numeric values in a 2D plot using different plotting backends.,"plot,scalar data",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=plot,scalar data&section=pkgs","http://127.0.0.1:4000/search/?term=plot,scalar data&section=pkgs",15.8,0.0158
65,visualize multiple graphs separately with rqt,rqt_gui,,"visualize multiple graphs,rqt",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=visualize multiple graphs,rqt&section=pkgs","http://127.0.0.1:4000/search/?term=visualize multiple graphs,rqt&section=pkgs",12,0.012
66,view multiple images in one window,rqt_image_view,rqt_image_view provides a GUI plugin for displaying images using image_transport.,view multiple images,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=view multiple images&section=pkgs,http://127.0.0.1:4000/search/?term=view multiple images&section=pkgs,34.6,0.0346
67,visualize 3d data in 3d world,rqt_rviz,,visualize 3d data 3d world,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=visualize 3d data 3d world&section=pkgs,http://127.0.0.1:4000/search/?term=visualize 3d data 3d world&section=pkgs,110.1,0.1101
68,"visualize, filter and analyze log messages",rqt_console,,"visualize,filter,analyze log messages",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=visualize,filter,analyze log messages&section=pkgs","http://127.0.0.1:4000/search/?term=visualize,filter,analyze log messages&section=pkgs",21.6,0.0216
69,view the state graph of nodes,rqt_graph,,"view the state graph nodes,graph",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=view the state graph nodes,graph&section=pkgs","http://127.0.0.1:4000/search/?term=view the state graph nodes,graph&section=pkgs",136.3,0.1363
70,create robot model,xacro,,create robot model,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=create robot model&section=pkgs,http://127.0.0.1:4000/search/?term=create robot model&section=pkgs,193.3,0.1933
71,open gazebo,gazebo_ros,Provides ROS plugins that offer message and service publishers for interfacing with,open gazebo,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=open gazebo&section=pkgs,http://127.0.0.1:4000/search/?term=open gazebo&section=pkgs,34.1,0.0341
72,transform the coordinateframes,tf,"tf is a package that lets the user keep track of multiple coordinateframes over time. tf maintains the relationship between coordinateframes in a tree structure buffered in time, and lets the usertransform points, vectors, etc between any two coordinate frames atany desired point in time.",transform the coordinateframes,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=transform the coordinateframes&section=pkgs,http://127.0.0.1:4000/search/?term=transform the coordinateframes&section=pkgs,5,0.005
73,teleoperate robot by twist messages with keyboard,teleop_twist_keyboard,Generic keyboard teleop for twist robots.,"teleoperate robot twist messages,keyboard",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=teleoperate robot twist messages,keyboard&section=pkgs","http://127.0.0.1:4000/search/?term=teleoperate robot twist messages,keyboard&section=pkgs",21.8,0.0218
74,locating the robot in 2d environment,amcl,,locating the robot 2d environment,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=locating the robot 2d environment&section=pkgs,http://127.0.0.1:4000/search/?term=locating the robot 2d environment&section=pkgs,25.5,0.0255
75,get feedbacks from executing robot commands,actionlib,,get feedbacks executing robot commands,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=get feedbacks executing robot commands&section=pkgs,http://127.0.0.1:4000/search/?term=get feedbacks executing robot commands&section=pkgs,53.9,0.0539
76,start the setup helper for moveit,moveit_setup_assistant,Generates a configuration package that makes it easy to use MoveIt!,start the setup helper moveit,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=start the setup helper moveit&section=pkgs,http://127.0.0.1:4000/search/?term=start the setup helper moveit&section=pkgs,41.4,0.0414
77,provide base markers,aruco_ros,The ARUCO Library has been developed by the Ava group of the Univeristy of Cordoba(Spain).    It provides real-time marker based 3D pose estimation using AR markers.,provide base markers,http://127.0.0.1:4000/search/?term=,&section=pkgs,http://127.0.0.1:4000/search/?term=provide base markers&section=pkgs,http://127.0.0.1:4000/search/?term=provide base markers&section=pkgs,100.9,0.1009
78,start the server for grasp with moveit,moveit_simple_grasps,A basic grasp generator for simple objects such as blocks or cylinders for use with the MoveIt! pick and place pipeline.     Does not consider friction cones or other dynamics.,"start the server grasp,moveit",http://127.0.0.1:4000/search/?term=,&section=pkgs,"http://127.0.0.1:4000/search/?term=start the server grasp,moveit&section=pkgs","http://127.0.0.1:4000/search/?term=start the server grasp,moveit&section=pkgs",13.5,0.0135
