package_name,category
exotica_cartpole_dynamics_solver,Cartpole dynamics
exotica_cartpole_dynamics_solver,Exotica
exotica_aico_solver,Implementation
exotica_aico_solver,the Approximate Inference Control
exotica,The Extensible Optimization Toolset (EXOTica)
exotica,robot motion planning.
exotica,This package
exotica,a metapackage
exotica,all core-released exotica packages.
wireless_watcher,a linux wireless interface.
wireless_msgs,Messages
wireless_msgs,"bitrate, essid,"
wireless_msgs,link quality.
log4cpp,Log4cpp
log4cpp,Orocos developers
log4cpp,This version
log4cpp,log4cpp deviates
log4cpp,the official release
log4cpp,real-time logging.
rtt,Orocos/RTT component framework
ocl,Orocos component library
ocl,This package
ocl,the Orocos Toolchain
rqt_topic,rqt_topic
rqt_topic,ROS topics
rqt_topic,ROS Messages.
rc_genicam_driver,The rc_genicam_driver
rc_genicam_driver,a Roboception rc_visard 3D sensor
rc_genicam_driver,rc_cube
rc_genicam_driver,several ROS topics.
psen_scan_v2,ROS support
psen_scan_v2,the Pilz laser scanner
move_basic,Simple navigation package
stomp_plugins,This package
stomp_plugins,the STOMP MoveIt planner
stomp_moveit,This package
stomp_moveit,stomp_core
stomp_moveit,the MoveIt Motion Planning Framework
rosdoc_lite,This ROS package wraps documentation tools
rosdoc_lite,"doxygen, sphinx,"
rosdoc_lite,"epydoc,"
rosdoc_lite,the ROS wiki.
dataspeed_can_usb,Driver
dataspeed_can_usb,the Dataspeed Inc. USB CAN Tool
dataspeed_can_tools,CAN bus introspection
dataspeed_can_msg_filters,Time
dataspeed_can_msg_filters,synchronize multiple CAN messages
lusb,Library
lusb,USB devices
heron_msgs,Provides standard messages
heron_msgs,"Heron,"
heron_msgs,the microcontroller's rosserial interface.
heron_description,URDF description
heron_description,Heron
heron_control,Control package
heron_control,Heron
roswww,Feathery
roswww,server
roswww,"ROS,"
interactive_marker_twist_server,Interactive control
interactive_marker_twist_server,generic Twist-based robots
catch_ros,ROS integration
catch_ros,the Catch unit test framework
fuse_viz,The fuse_viz package
fuse_viz,fuse.
fuse_variables,The fuse_variables package
fuse_variables,commonly
fuse_variables,"3D positions, orientations, velocities,"
fuse_variables,accelerations.
fuse_tutorials,Package
fuse_tutorials,the fuse tutorials
fuse_publishers,The fuse_publishers
fuse_publishers,common publisher plugins.
fuse_optimizers,The fuse_optimizers
fuse_optimizers,optimizer
fuse_optimizers,"motion model inputs,"
fuse_optimizers,the optimal state
fuse_optimizers,the publishers.
fuse_msgs,The fuse_msgs package contains
fuse_models,fuse
fuse_models,implement
fuse_models,sensor models
fuse_loss,The fuse_loss package
fuse_loss,commonly
fuse_loss,the basic ones
fuse_loss,Ceres.
fuse_graphs,The fuse_graphs package
fuse_graphs,the fuse_core::Graph interface.
fuse_core,The fuse_core package
fuse_core,the various fuse components. Concrete implementations
fuse_core,these interfaces
fuse_core,other packages.
fuse_constraints,The fuse_constraints package
fuse_constraints,commonly
fuse_constraints,direct measurements
fuse_constraints,state variables
fuse_constraints,measurements
fuse_constraints,the state changes
fuse,The fuse metapackage
laser_filters,Assorted filters
laser_filters,2D planar
laser_filters,"scanners,"
cob_twist_controller,The main purpose
cob_twist_controller,the cob_twist_controller
cob_twist_controller,joint velocities.
cob_twist_controller,several implemented inverse kinematics approaches
cob_twist_controller,the first order differential
cob_twist_controller,solver considers
cob_twist_controller,kinematic chain
cob_twist_controller,"extensions, singularity robustness, redundancy resolution"
cob_twist_controller,priority-based methods.
cob_twist_controller,well. Via parameter server users
cob_tricycle_controller,The cob_omni_drive_controller package
cob_tricycle_controller,the Care-O-bot tricycle base platform.
cob_trajectory_controller,This package
cob_trajectory_controller,a chain
cob_trajectory_controller,joints.
cob_trajectory_controller,This controller
cob_trajectory_controller,[[schunk_powercube_chain]].
cob_omni_drive_controller,The cob_omni_drive_controller package
cob_omni_drive_controller,the Care-O-bot
cob_omni_drive_controller,omni-directional base platform.
cob_obstacle_distance,The cob_obstacle_distance package
cob_obstacle_distance,both robot links
cob_obstacle_distance,obstacles
cob_obstacle_distance,obstacle avoidance
cob_obstacle_distance,cob_twist_controller framework.
cob_model_identifier,The cob_model_identifier package
cob_model_identifier,actuators
cob_model_identifier,cob_twist_controller framework.
cob_mecanum_controller,The cob_mecanum_controller_node
cob_mecanum_controller,mecanum drive
cob_mecanum_controller,the wheel command/state
cob_mecanum_controller,rad/s
cob_mecanum_controller,"the wheels [front left, front right,"
cob_hardware_emulation,The cob_hardware_emulation package
cob_hardware_emulation,physics simulation.
cob_frame_tracker,The cob_frame_tracker package
cob_frame_tracker,publish Twist commands
cob_frame_tracker,the distance
cob_footprint_observer,The cob_footprint_observer package
cob_footprint_observer,the robot
cob_footprint_observer,the setup (e.g. arm and/or tray).
cob_control_msgs,Common messages
cob_control_msgs,services
cob_control_msgs,various packages
cob_control_msgs,cob_control.
cob_control_mode_adapter,The cob_control_mode_adapter package
cob_control,cob_control meta-package
cob_collision_velocity_filter,The cob_collision_velocity_filter package
cob_collision_velocity_filter,collision avoidance
cob_cartesian_controller,This package
cob_cartesian_controller,various (model-based) Cartesian paths
cob_cartesian_controller,The tf-frames
cob_cartesian_controller,targets
cob_cartesian_controller,the cob_frame_tracker/cob_twist_controller.
cob_base_velocity_smoother,The 'cob_base_velocity_smoother'
cob_base_velocity_smoother,publishes messages
cob_base_velocity_smoother,the same type
cob_base_velocity_smoother,"""smoothed"" velocity"
cob_base_controller_utils,The cob_base_controller_utils package
cob_base_controller_utils,various base_controllers.
mqtt_bridge,The mqtt_bridge package
leuze_rsl_driver,ROS Driver
leuze_rsl_driver,the Leuze RSL series laser scanner.
leuze_ros_drivers,The leuze_ros_drivers
leuze_phidget_driver,The phidget interface kit driver package
leuze_phidget_driver,leuze lasers
leuze_description,This package
leuze_bringup,This package
ros_opcua_srvs,The ros_opcua_srvs package implements ROS-services
ros_opcua_srvs,opcua_communication metapackage.
ros_opcua_msgs,The ros_opcua_msgs package implements ROS-messages
ros_opcua_msgs,opcua_communication metapackage.
ros_opcua_impl_python_opcua,The ros_opcua_impl_python_opcua package implement
ros_opcua_impl_python_opcua,Pure Python OPC-UA / IEC 62541 Client
ros_opcua_impl_python_opcua,Server
ros_opcua_impl_freeopcua,The ros_opcua_impl_freeopcua package implements bindings
ros_opcua_impl_freeopcua,Open Source C++ OPC-UA Server
ros_opcua_impl_freeopcua,Client Library.
ros_opcua_communication,The ros_opcua_communication mate-package
ros_opcua_communication,different open-source OPC-UA implementations. Currently
ros_opcua_communication,python-opcua.
rokubimini_serial,Rokubimini Serial implementation.
rokubimini_msgs,ROS message
rokubimini_msgs,service definitions.
rokubimini_ethercat,Rokubimini Ethercat implementation.
rokubimini_description,The rokubimini_description package
rokubimini_bus_manager,C++
rokubimini_bus_manager,the rokubimini library
rokubimini_bus_manager,EtherCAT.
rokubimini,C++
rokubimini,the rokubimini library
rokubimini,EtherCAT.
bota_worker,High resolution version
bota_worker,the ROS worker.
bota_signal_handler,class.
bota_node,ROS
bota_node,wrapper
bota_node,some convenience functions
bota_driver_testing,ROS node
bota_driver_testing,rokubimini sensors
bota_driver,Meta package
bota_driver,BOTA driver.
magni_viz,The magni_viz package
magni_teleop,The magni_teleop package
magni_robot,The magni_robot package
magni_nav,The magni_nav package
magni_gazebo,The magni_gazebo package
magni_desktop,Meta package
magni_desktop,the desktop side utilities
magni_desktop,magni
magni_description,The magni_description package
magni_demos,The magni_demos package
magni_bringup,The magni_bringup package
staubli_experimental,Experimental packages
staubli_experimental,Staubli manipulators
staubli_experimental,ROS-Industrial (metapackage).
staubli,ROS-Industrial support
staubli,Staubli manipulators
kuka_rsi_simulator,Python node
kuka_rsi_hw_interface,A ROS-Control hardware interface
kuka_rsi_hw_interface,use
kuka_rsi_hw_interface,KUKA RSI
kuka_experimental,Experimental packages
kuka_experimental,KUKA manipulators
kuka_experimental,ROS-Industrial.
kuka_eki_hw_interface,A ROS-Control hardware interface
kuka_eki_hw_interface,use
kuka_eki_hw_interface,KUKA EKI
follow_waypoints,The follow_waypoints
follow_waypoints,waypoints
follow_waypoints,poses
move_base_sequence,The move_base_sequence package
computer_status_msgs,Messages definitions
computer_status_msgs,"battery information, GPU,"
computer_status_msgs,some miscellaneous sensors. Format
computer_status_msgs,ROS. Originally
play_motion_msgs,"Messages, services"
play_motion_msgs,actions
play_motion_msgs,play_motion.
play_motion,a robot
pmb2_rgbd_sensors,PMB2-specific RGBD sensors launch
pmb2_rgbd_sensors,config files.
pmb2_navigation,PMB2 navigation metapackage
pmb2_maps,PMB2-specific maps
pmb2_maps,launch files.
pmb2_laser_sensors,PMB2-specific laser sensors launch
pmb2_laser_sensors,config files.
pmb2_2dnav,PMB2-specific launch files
pmb2_2dnav,the PMB2 robot.
rqt_runtime_monitor,rqt_runtime_monitor
webrtc_ros,A collection
webrtc_ros,ROS utilities
webrtc_ros,ROS
webrtc,WebRTC Native API
multi_object_tracking_lidar,ROS package
multi_object_tracking_lidar,Multiple objects
multi_object_tracking_lidar,classification
multi_object_tracking_lidar,LIDAR scans/point-clouds
qb_move_hardware_interface,This package
qb_move_hardware_interface,qbrobotics® qbmove device.
qb_move_gazebo,This package
qb_move_gazebo,qbrobotics® qbmove device.
qb_move_description,This package
qb_move_description,qbrobotics® qbmove device.
qb_move_control,This package
qb_move_control,qbrobotics® qbmove device.
qb_move,This package
qb_move,qbrobotics® qbmove device.
qb_hand_hardware_interface,This package
qb_hand_hardware_interface,qbrobotics® qbhand device.
qb_hand_gazebo,This package
qb_hand_gazebo,qbrobotics® SoftHand device.
qb_hand_description,This package
qb_hand_description,qbrobotics® qbhand device.
qb_hand_control,This package
qb_hand_control,qbrobotics® qbhand device.
qb_hand,This package
qb_hand,qbrobotics® qbhand device.
qb_device_utils,This package
qb_device_utils,qbrobotics® devices.
qb_device_srvs,This package
qb_device_srvs,qbrobotics® devices.
qb_device_msgs,This package
qb_device_msgs,qbrobotics® devices.
qb_device_hardware_interface,This package
qb_device_hardware_interface,qbrobotics® devices.
qb_device_gazebo,This package
qb_device_gazebo,qbrobotics® devices.
qb_device_driver,This package
qb_device_driver,qbrobotics® devices.
qb_device_description,This package
qb_device_description,qbrobotics® devices.
qb_device_control,This package
qb_device_control,qbrobotics® devices.
qb_device_bringup,This package
qb_device_bringup,qbrobotics® devices.
qb_device,This package
qb_device,qbrobotics® devices.
qb_chain_msgs,message
qb_chain_msgs,velocity
qb_chain_description,This package
qb_chain_description,complex chains
qb_chain_description,qbrobotics® devices.
qb_chain_controllers,This package
qb_chain_controllers,"qbrobotics® kinematic structures,"
qb_chain_control,This package
qb_chain,This package
pal_statistics_msgs,Statistics
pal_statistics,The pal_statistics package
pal_carbon_collector,Node
pal_carbon_collector,topics
orb_slam2_ros,ORB SLAM2
tf_tools,ROS tools
tf_tools,scripts
srv_tools,Stack
srv_tools,interesting ROS tools
pointcloud_tools,pointcloud_tools
plot_tools,plot_tools
launch_tools,ROS tools
launch_tools,scripts
launch_tools,launchfiles
bag_tools,ROS tools
bag_tools,scripts
bag_tools,bagfiles
summit_xl_robot_local_control,The summit_xl_robot_local_control package
summit_xl_perception,The summit_xl_perception package
summit_xl_perception,configuration files
summit_xl_pad,The summit_xl_pad package
summit_xl_navigation,Navigation launch
summit_xl_navigation,config files
summit_xl_navigation,Summit XL robot.
summit_xl_localization,The summit_xl_localization package
summit_xl_j2s7s300_moveit_config,generated package
summit_xl_j2s7s300_moveit_config,the configuration
summit_xl_j2s7s300_moveit_config,launch files
summit_xl_j2s7s300_moveit_config,the MoveIt! Motion Planning Framework
summit_xl_j2s6s300_moveit_config,generated package
summit_xl_j2s6s300_moveit_config,the configuration
summit_xl_j2s6s300_moveit_config,launch files
summit_xl_j2s6s300_moveit_config,the MoveIt! Motion Planning Framework
summit_xl_j2s6s200_moveit_config,generated package
summit_xl_j2s6s200_moveit_config,the configuration
summit_xl_j2s6s200_moveit_config,launch files
summit_xl_j2s6s200_moveit_config,the MoveIt! Motion Planning Framework
summit_xl_j2n6s200_moveit_config,generated package
summit_xl_j2n6s200_moveit_config,the configuration
summit_xl_j2n6s200_moveit_config,launch files
summit_xl_j2n6s200_moveit_config,the MoveIt! Motion Planning Framework
summit_xl_description,URDF description
summit_xl_description,the Summit XL
summit_xl_description,Summit XL HL
summit_xl_description,omni versions
summit_xl_control,This package
summit_xl_control,simulation
summit_xl_control,Gazebo.
summit_xl_common,URDF description
summit_xl_common,the Summit XL
summit_xl_common,"Summit XL HL, platform messages"
summit_xl_common,other files
summit_xl_common,simulation.
ira_laser_tools,The ira_laser_tools
ira_laser_tools,"lasers,"
ira_laser_tools,listen
ira_laser_tools,different laser
ira_laser_tools,scan sources
ira_laser_tools,a single scan
ira_laser_tools,a pointcloud.
franka_visualization,This package
franka_visualization,Franka Emika.
franka_ros,franka_ros
franka_ros,all Franka Emika ROS packages
franka_msgs,franka_msgs
franka_msgs,Franka Emika research robots
franka_hw,franka_hw
franka_hw,ros_control
franka_gripper,This package
franka_gripper,type Franka Hand
franka_gripper,the use
franka_gripper,ros
franka_gazebo,This package
franka_gazebo,Gazebo
franka_example_controllers,franka_example_controllers
franka_example_controllers,ros_control
franka_description,franka_description
franka_description,meshes
franka_description,Franka Emika robots
franka_control,franka_control
rqt_nav_view,rqt_nav_view
rqt_nav_view,paths.
geonav_transform,The geonav_transform package
crazyflie_driver,ROS driver
crazyflie_driver,Crazyflie Nano Quadcopter
crazyflie_driver,Bitcraze
crazyflie_description,URDF Model
crazyflie_description,the Crazyflie Nano Quadcopter
crazyflie_description,Bitcraze
crazyflie_demo,Examples
crazyflie_controller,Controller
crazyflie_controller,a space
crazyflie_controller,location feedback
crazyflie_controller,motion capture).
crazyflie,ROS integration
crazyflie,Crazyflie Nano Quadcopter
crazyflie,Bitcraze
raspimouse_sim,ROS package suite
raspimouse_sim,Raspberry Pi Mouse Simulator
raspimouse_gazebo,The raspimouse_gazebo package
raspimouse_fake,The raspimouse_control package
rqt_robot_plugins,Metapackage
rqt_robot_plugins,rqt plugins
rqt_robot_plugins,robots
rqt_robot_plugins,operation.
rqt_robot_dashboard,rqt_robot_dashboard
rqt_robot_dashboard,rqt.
rqt_logger_level,rqt_logger_level
rqt_logger_level,level
rqt_logger_level,ROS nodes.
rqt_console,rqt_console
livox_ros_driver,The ROS device driver
livox_ros_driver,Livox 3D LiDARs
livox_ros_driver,Livox Hub
fiducials,Localization
fiducial_slam,ROS node
fiducial_slam,fiducials
fiducial_slam,estimate robot
fiducial_slam,fiducial transforms
fiducial_msgs,Package
fiducial_msgs,fiducials
aruco_gazebo,The aruco_gazebo package
aruco_detect,Fiducial detection
aruco_detect,the aruco library
industrial_robot_status_interface,Exposes ROS-Industrial's RobotStatus info
industrial_robot_status_interface,hardware_interfaces
industrial_robot_status_interface,consumption
industrial_robot_status_interface,ros_control controllers.
industrial_robot_status_controller,A ros_control controller
agni_tf_tools,This package
agni_tf_tools,a rviz plugin
agni_tf_tools,various Euler angle
agni_tf_tools,an interactive marker.
turtlebot3_simulations,ROS packages
turtlebot3_simulations,the turtlebot3 simulation (meta package)
turtlebot3_gazebo,Gazebo simulation package
turtlebot3_gazebo,the TurtleBot3
turtlebot3_fake,Package
turtlebot3_fake,TurtleBot3
turtlebot3_fake,"this package, simple tests"
turtlebot3_fake,a robot.
turtlebot3_fake,rviz
turtlebot3_fake,real robots.
open_manipulator_teleop,Provides teleoperation
open_manipulator_teleop,OpenManipulator.
open_manipulator_moveit,generated package
open_manipulator_moveit,the configuration
open_manipulator_moveit,launch files
open_manipulator_moveit,the MoveIt! Motion Planning Framework
open_manipulator_libs,OpenManipulator
open_manipulator_libs,library (Kinematics
open_manipulator_description,OpenManipulator 3D model description
open_manipulator_description,visualization
open_manipulator_description,simulation
open_manipulator_controller,OpenManipulator controller package
open_manipulator_control_gui,OpenManipulator GUI control package
open_manipulator_control_gui,QT
open_manipulator,ROS-enabled OpenManipulator
open_manipulator,"OpenSoftware​, OpenHardware"
open_manipulator,OpenCR(Embedded
open_manipulator,the MoveIt! package.
open_manipulator,TurtleBot3​.
open_manipulator,the Gazebo simulator​.
rtabmap_ros,RTAB-Map's ros-pkg. RTAB-Map
rtabmap_ros,real-time constraints.
kvh_geo_fog_3d_rviz,The KVH GEO FOG 3D rviz plugin package
kvh_geo_fog_3d_msgs,kvh_geo_fog_3d_msgs
kvh_geo_fog_3d_msgs,the KVH GEO FOG 3D INS devices.
kvh_geo_fog_3d_driver,A ROS driver
kvh_geo_fog_3d_driver,the KVH Geo Fog 3D INS family
kvh_geo_fog_3d_driver,systems.
kvh_geo_fog_3d,Provides
kvh_geo_fog_3d,a driver node
kvh_geo_fog_3d,KVH GEO FOG 3D INS
kvh_geo_fog_3d,"sensors, messages,"
kvh_geo_fog_3d,rviz plugins.
open_manipulator_p_simulations,Metapackage
open_manipulator_p_simulations,OpenMANIPULATOR-P Simulations
open_manipulator_p_gazebo,Package
open_manipulator_p_gazebo,OpenMANIPULATOR-P Gazebo
darknet_ros_msgs,Darknet
darknet_ros_msgs,neural network framework
darknet_ros_msgs,CPU
darknet_ros_msgs,GPU.
darknet_ros_msgs,(YOLO)
darknet_ros,Darknet
darknet_ros,neural network framework
darknet_ros,CPU
darknet_ros,GPU.
darknet_ros,(YOLO)
dynamixel_workbench_toolbox,This package
dynamixel_workbench_toolbox,"'dynamixel_item', 'dynamixel_tool', 'dynamixel_driver'"
dynamixel_workbench_toolbox,control
dynamixel_workbench_toolbox,table item
dynamixel_workbench_toolbox,information
dynamixel_workbench_toolbox,Dynamixels.
dynamixel_workbench_toolbox,The 'dynamixel_tool' class
dynamixel_workbench_toolbox,model number
dynamixel_workbench_toolbox,Dynamixels.
dynamixel_workbench_toolbox,The 'dynamixel_driver' class
dynamixel_workbench_toolbox,DYNAMIXEL SDK.
dynamixel_workbench_toolbox,The 'dynamixel_workbench' class
dynamixel_workbench_operators,This package
dynamixel_workbench_operators,the server
dynamixel_workbench_operators,the 'dynamixel_workbench_controllers' package
dynamixel_workbench_msgs,This package
dynamixel_workbench_msgs,services
dynamixel_workbench_msgs,dynamixel_workbench packages
dynamixel_workbench_controllers,This package
dynamixel_workbench_controllers,the basis
dynamixel_workbench_controllers,dynamixel_sdk
dynamixel_workbench_controllers,Dynamixel.
dynamixel_workbench,Dynamixel-Workbench
dynamixel_workbench,ROS.
dynamixel_workbench,This metapackage
dynamixel_workbench,"the Dynamixel. Furthermore,"
dynamixel_workbench,operating mode
dynamixel_workbench,Dynamixel SDK.
dynamixel_workbench,These controllers
dynamixel_workbench,operators.
open_manipulator_simulations,Simulation packages
open_manipulator_simulations,OpenManipulator
open_manipulator_gazebo,Gazebo configurations package
open_manipulator_gazebo,OpenManipulator
pilz_trajectory_generation,The pilz_trajectory_generation package
pilz_robot_programming,An Easy
pilz_robot_programming,"Ptp, Lin, Circ"
pilz_robot_programming,Sequence
pilz_msgs,The pilz_msgs package
pilz_industrial_motion_testutils,Helper scripts
pilz_industrial_motion_testutils,functionality
pilz_industrial_motion,The pilz_industrial_motion package
pilz_extensions,The pilz_extensions
pilz_extensions,other packages.
pilz_extensions,the long run
pilz_extensions,these extensions
pilz_extensions,the respective packages.
open_manipulator_msgs,Messages
open_manipulator_msgs,services package
open_manipulator_msgs,OpenManipulator
open_manipulator_msgs,state
open_manipulator_msgs,pose
turtlebot3_autorace_tunnel_detect,AutoRace ROS packages
turtlebot3_autorace_tunnel_detect,feature detection
turtlebot3_autorace_tunnel_detect,TurtleBot3 Auto
turtlebot3_autorace_tunnel_core,TurtleBot3 AutoRace ROS package
turtlebot3_autorace_tunnel_core,TurtleBot3 Auto's core
turtlebot3_autorace_tunnel_control,TurtleBot3 AutoRace ROS package
turtlebot3_autorace_tunnel_camera,TurtleBot3 AutoRace ROS package
turtlebot3_autorace_tunnel,AutoRace ROS packages
turtlebot3_autorace_tunnel,AutoRace
turtlebot3_autorace_tunnel,TurtleBot3 (meta package)
turtlebot3_autorace_traffic_light_detect,AutoRace ROS packages
turtlebot3_autorace_traffic_light_detect,feature detection
turtlebot3_autorace_traffic_light_detect,TurtleBot3 Auto
turtlebot3_autorace_traffic_light_core,TurtleBot3 AutoRace ROS package
turtlebot3_autorace_traffic_light_core,TurtleBot3 Auto's core
turtlebot3_autorace_traffic_light_control,TurtleBot3 AutoRace ROS package
turtlebot3_autorace_traffic_light_camera,TurtleBot3 AutoRace ROS package
turtlebot3_autorace_traffic_light,AutoRace ROS packages
turtlebot3_autorace_traffic_light,AutoRace
turtlebot3_autorace_traffic_light,TurtleBot3 (meta package)
turtlebot3_autorace_parking_detect,AutoRace ROS packages
turtlebot3_autorace_parking_detect,feature detection
turtlebot3_autorace_parking_detect,TurtleBot3 Auto
turtlebot3_autorace_parking_core,TurtleBot3 AutoRace ROS package
turtlebot3_autorace_parking_core,TurtleBot3 Auto's core
turtlebot3_autorace_parking_control,TurtleBot3 AutoRace ROS package
turtlebot3_autorace_parking_camera,TurtleBot3 AutoRace ROS package
turtlebot3_autorace_parking,AutoRace ROS packages
turtlebot3_autorace_parking,AutoRace
turtlebot3_autorace_parking,TurtleBot3 (meta package)
turtlebot3_autorace_msgs,The turtlebot3_autorace_msgs package
turtlebot3_autorace_level_crossing_detect,AutoRace ROS packages
turtlebot3_autorace_level_crossing_detect,feature detection
turtlebot3_autorace_level_crossing_detect,TurtleBot3 Auto
turtlebot3_autorace_level_crossing_core,TurtleBot3 AutoRace ROS package
turtlebot3_autorace_level_crossing_core,TurtleBot3 Auto's core
turtlebot3_autorace_level_crossing_control,TurtleBot3 AutoRace ROS package
turtlebot3_autorace_level_crossing_camera,TurtleBot3 AutoRace ROS package
turtlebot3_autorace_level_crossing,AutoRace ROS packages
turtlebot3_autorace_level_crossing,AutoRace
turtlebot3_autorace_level_crossing,TurtleBot3 (meta package)
turtlebot3_autorace_intersection_detect,AutoRace ROS packages
turtlebot3_autorace_intersection_detect,feature detection
turtlebot3_autorace_intersection_detect,TurtleBot3 Auto
turtlebot3_autorace_intersection_core,TurtleBot3 AutoRace ROS package
turtlebot3_autorace_intersection_core,TurtleBot3 Auto's core
turtlebot3_autorace_intersection_control,TurtleBot3 AutoRace ROS package
turtlebot3_autorace_intersection_camera,TurtleBot3 AutoRace ROS package
turtlebot3_autorace_intersection,TurtleBot3 AutoRace
turtlebot3_autorace_intersection,Intersection mission ROS 1 packages
turtlebot3_autorace_construction_detect,AutoRace ROS packages
turtlebot3_autorace_construction_detect,feature detection
turtlebot3_autorace_construction_detect,TurtleBot3 Auto
turtlebot3_autorace_construction_core,TurtleBot3 AutoRace ROS package
turtlebot3_autorace_construction_core,TurtleBot3 Auto's core
turtlebot3_autorace_construction_control,TurtleBot3 AutoRace ROS package
turtlebot3_autorace_construction_camera,TurtleBot3 AutoRace ROS package
turtlebot3_autorace_construction,TurtleBot3 AutoRace
turtlebot3_autorace_construction,Construction mission ROS 1 packages
turtlebot3_autorace_2020,TurtleBot3 AutoRace 2020 ROS 1 packages
robotis_manipulator,This package
robotis_manipulator,functions
spinnaker_sdk_camera_driver,Point Grey (FLIR) Spinnaker
xbot_tools,The xbot_tools package
xbot_safety_controller,A controller
xbot_safety_controller,Xbot.
xbot_safety_controller,The SafetyController
xbot_safety_controller,"bumper, cliff"
xbot_safety_controller,case
xbot_safety_controller,"the first two, Xbot"
xbot_safety_controller,"the latter case, Xbot"
xbot_node,ROS nodelet
xbot_node,Xbot: ROS wrapper
xbot_node,the Xbot driver.
xbot_driver,C++ driver library
xbot_driver,xbot: Pure C++ driver library
xbot_driver,xbot.
xbot_driver,systems.
xbot_description,The urdf model description package
xbot_description,xbot robot.
xbot_bringup,The xbot_bringup package
xbot,ROS packages
xbot,xbot-u user
xbot,The matapackage
xbot,"face recognition,"
xbot,"navigation(SLAM, navigation)and talker package,"
xbot,ROS_Academy_for_beginners. --------------------------------------------------------------------------
s3_file_uploader,Package
s3_file_uploader,a node
s3_file_uploader,files
s3_file_uploader,Amazon S3
s3_common,Common utilities
s3_common,AWS S3
rosbag_uploader_ros1_integration_tests,End
rosbag_uploader_ros1_integration_tests,rosbag-uploader-ros1 cloud extension package.
rosbag_cloud_recorders,Package
rosbag_cloud_recorders,nodes
rosbag_cloud_recorders,rosbag files
recorder_msgs,Messages
recorder_msgs,actions
recorder_msgs,rosbag recorders.
file_uploader_msgs,Messages
file_uploader_msgs,actions
file_uploader_msgs,S3 file uploader.
fanuc_experimental,Experimental packages
fanuc_experimental,Fanuc manipulators
fanuc_experimental,ROS-Industrial.
pr2_se_calibration_launch,pr2_se_calibration_launch
pr2_dense_laser_snapshotter,a series
pr2_dense_laser_snapshotter,laser
pr2_dense_laser_snapshotter,scan messages
pr2_dense_laser_snapshotter,"a dense representation,"
pr2_dense_laser_snapshotter,intensity
pr2_dense_laser_snapshotter,range data.
pr2_dense_laser_snapshotter,This package
pr2_calibration_launch,Launch files
pr2_calibration_launch,configuration files
pr2_calibration_launch,PR2.
pr2_calibration_launch,This package
pr2_calibration_launch,experimental. Expect
pr2_calibration_launch,large changes
pr2_calibration,The pr2_calibration package
laser_joint_projector,Projects
laser_joint_projector,"a point cloud,"
laser_joint_projector,a set
laser_joint_projector,recorded joint angles
laser_joint_projector,This package
laser_joint_projector,unstable. Expect
laser_joint_projector,APIs
laser_joint_processor,Computes
laser_joint_processor,joint angles
laser_joint_processor,a specific set
laser_joint_processor,detected checkerboard corners.
laser_joint_processor,This package
laser_joint_processor,unstable. Expect
laser_joint_processor,APIs
dense_laser_assembler,Stores
dense_laser_assembler,a laser sensor
dense_laser_assembler,a dense representation.
dense_laser_assembler,"the data,"
dense_laser_assembler,fast approx neighborhood searches.
dense_laser_assembler,This package
dense_laser_assembler,unstable. Expect
dense_laser_assembler,APIs
