package_name,function
m1n6s300_moveit_config,using the m1n6s300
kinova_msgs,"contains the messages, actions"
kinova_driver,provides a ROS interface
kinova_driver,provides access
kinova_description,Includes the model
j2s7s300_moveit_config,using the j2s7s300
j2s6s300_moveit_config,using the j2s6s300
j2n6s300_moveit_config,using the j2n6s300
test_osm,are regression tests
test_osm,avoid unnecessary implementation dependencies.
osm_cartography,mapping using Open Street Map data.
trac_ik_python,contains a python
trac_ik_python,using SWIG
trac_ik_lib,"is a faster,"
trac_ik_lib,solver. The TRAC-IK library
trac_ik_lib,passes a maximum time
trac_ik_kinematics_plugin,using TRAC-IK
trac_ik_examples,contains the source code
trac_ik_examples,comparing trac_ik
trac_ik,provide an improved alternative Inverse Kinematics solver
trac_ik,handles joint-limited chains
trac_ik,increasing solve time.
robotiq_modbus_tcp,using the Modbus TCP protocol
robotiq_modbus_rtu,using the Modbus RTU protocol
robotiq_ft_sensor,reading data
robotiq_3f_gripper_control,control a 3F gripper Gripper
robotiq_3f_gripper_articulated_gazebo_plugins,allow real Robotiq gripper control
robotiq_3f_gripper_articulated_gazebo_plugins,provide the same interface
robotiq_3f_gripper_articulated_gazebo_plugins,Porting code
robotiq_3f_gripper_articulated_gazebo,spawning the Robotiq robotiq-3f-gripper articulated gripper
robotiq_2f_gripper_control,control a 2-Finger Gripper
axis_camera,accessing an Axis camera's MJPG stream.
axis_camera,provides control
velodyne_laserscan,Extract a single ring
rqt_dep,provides a GUI plugin
rqt_dep,visualizing the ROS dependency graph.
rqt_py_trees,provides a GUI plugin
rqt_py_trees,visualizing py_trees
rqt_py_trees,behaviour trees
pr2_arm_kinematics,provides a kinematics implementation
pr2_arm_kinematics,inverse kinematics.
gravity_compensation,are zeroed. Assumes
gravity_compensation,calibrated accelerometer
force_torque_sensor_calib,Calibrates the offsets
force_torque_sensor_calib,Uses readings
rqt_web,is a simple web content viewer
rqt_web,show web content
rqt_pose_view,provides a GUI plugin
rqt_pose_view,visualizing 3D poses.
fetch_moveit_config,using the fetch_urdf
fetch_calibration,calibrating Fetch
fetch_calibration,using the 'robot_calibration' package.
rostime,including roscpp.
roscpp_traits,contains the message
roscpp_traits,traits code
roscpp_serialization,contains the code
roscpp_core,Underlying data libraries
cpp_common,contains C++ code
cpp_common,doing things
cpp_common,includes things
cpp_common,getting backtraces.
cpp_common,is a component
mpc_local_planner_msgs,provides message types
mpc_local_planner,implements a plugin
collada_urdf,contains a tool
collada_urdf,convert Unified Robot Description Format (URDF) documents
collada_parser,contains a C++ parser
collada_parser,format. The parser
collada_parser,"reads a Collada XML robot description,"
collada_parser,creates a C++ URDF
collada_parser,use this parser
collada_parser,"descriptions, the preferred user API"
navigation_tutorials,related tutorials.
navigation_stage,holds example launch files
navigation_stage,running the ROS navigation stack
pid,Launch a PID control node.
twist_recovery,performs a particular used-defined twist.
soem,is an updated version
soem,including the upstream Repo
sbpl_recovery,uses the sbpl lattice planner
sbpl_recovery,get the robot
sbpl_lattice_planner,is a global planner plugin
sbpl_lattice_planner,wraps the SBPL
pose_follower,follow a plan
pose_base_controller,"provides the move_base action server interface,"
pose_base_controller,pose using a control-based approach.
navigation_experimental,"tools: Various recovery behaviors,"
navigation_experimental,"avoidance, a simple control-based move_base replacement etc."
goal_passer,passes the target pose
goal_passer,debugging local planners.
assisted_teleop,uses TrajectoryPlannerROS
assisted_teleop,find a valid trajectory
assisted_teleop,desired trajectory
assisted_teleop,filtering teleop commands
assisted_teleop,avoiding obstacles.
assisted_teleop,"contains LaserScanMaxRangeFilter,"
assisted_teleop,is a LaserScan filter plugin
assisted_teleop,takes max range values
p2os_msgs,Defines the messages
p2os_doc,Contains the Documentation
uuv_tutorial_seabed_world,create a new Gazebo model
uuv_tutorial_dp_controller,inherit the controller interface modules
uuv_tutorial_dp_controller,develop a custom controlller.
uuv_tutorial_disturbances,use the uuv_control_utils tools
uuv_tutorial_disturbances,schedule disturbances
uuv_teleop,generate command topics
uuv_teleop,using a joystick input
uuv_simulator,contains Gazebo plugins
uuv_gazebo_ros_plugins,extended ROS plugins
uuv_gazebo_plugins,(e.g. thrusters
uuv_assistants,analyze the simulation
rexrov2_gazebo,positioning controllers.
rexrov2_description,spawn the model
rexrov2_control,start controllers nodes
rbcar_common,contains RBCAR
bwi_desktop_full,released BWI packages
bwi_desktop_full,include GUI components.
bwi_desktop,released BWI
bwi_desktop,include GUI components.
segbot_sensors,sensor specific launch files
segbot_navigation,running the ROS navigation stack
segbot_navigation,"using the eband_local_planner approach,"
segbot_led,LED package
segbot_led,provides drivers
segbot_led,utilizing an Arduino microcontroller.
segbot_bringup,running segbots
segbot_arm_tutorials,provides a set
segbot_arm_tutorials,controlling the robot arm.
segbot_arm_tasks,holds independent tasks
segbot_arm_tasks,be actionlib servers
segbot_arm_joystick,"arm, Segway base"
segbot,controlling Segway-based robots
only_segbot_base,controlling the bases
only_segbot_arm,controlling manipulator arms
m1n6s200_segbot_moveit_config,using the m1n6s300
sr_visualization,contains the different gui plugins
sr_gui_muscle_driver_bootloader,bootloading the muscle drivers
sr_gui_motor_resetter,resetting motors
sr_gui_hand_calibration,calibrating the Shadow EtherCAT Hand.
sr_gui_cyberglove_calibrator,bootloading the motors
sr_gui_controller_tuner,tuning the sr_mechanism_controllers
sr_gui_change_muscle_controllers,loading the different muscle controllers.
sr_gui_bootloader,bootloading the motors
sr_gui_advanced_controls,loading the different motor controllers.
rqt_robot_monitor,diagnostics_agg topics messages
rqt_moveit,assists monitoring tasks
teb_local_planner,implements a plugin
teb_local_planner,stack. The underlying method
teb_local_planner,called Timed Elastic Band
teb_local_planner,optimizes the robot's trajectory
rb1_j2s7s200_moveit_config,using the rb1
rb1_common,contains rb1 mobile manipulator
hebi_cpp_api,providing access
declination,provides nodes
declination,apply this offset
visualization_tutorials,referencing tutorials
rviz_plugin_tutorials,write plugins
rtmros_hironx,is an operating interface
hironx_ros_bridge,pay attention
hironx_ros_bridge,file header
hironx_moveit_config,using the HiroNX
hironx_calibration,calibrating hironx
hironx_calibration,using the generic
four_wheel_steering_msgs,using FourWheelSteering.
costmap_converter,includes plugins
costmap_converter,convert occupied costmap2d cells
costmap_converter,primitive types.
ackermann_msgs,using Ackermann steering.
dynamixel_motor,contains packages
dynamixel_driver,provides low level IO
dynamixel_driver,servos. Fully supports
dynamixel_driver,writing information from/to Dynamixel
dynamixel_driver,servos. This low level package won't
dynamixel_driver,make use
dynamixel_controllers,"contains a configurable node, services"
dynamixel_controllers,"start, stop"
turtlebot3_panorama,utilises pano_ros
turtlebot3_panorama,taking snapshots
turtlebot3_panorama,create panorama pictures.
turtlebot3_follower,was implemented using a 360 Laser Distance Sensor LDS-01.
turtlebot3_follower,take actions.
turtlebot3_follower,follows someone
turtlebot3_follow_filter,using laser_filters
turtlebot3_automatic_parking_vision,uses ar code.
turtlebot3_automatic_parking_vision,needs a printed ar code
turtlebot3_automatic_parking,need a reflective tape
turtlebot3_automatic_parking,see parking spot
turtlebot3_automatic_parking,using this pacakge
turtlebot3_applications,(meta package)
moveback_recovery,moves the robot
moveback_recovery,specified length.
moveback_recovery,checks the costmap
moveback_recovery,stops the robot
capabilities,"capabilities, including code"
capabilities,"parse capability interface specs,"
capabilities,"parse capability provider specs,"
capabilities,implement the capability server.
rosunit,is a lower-level library
rosmake,is a ros dependency
rosmake,build all dependencies
roslang,is a common package
roscreate,contains a tool
rosclean,(e.g. log files).
rosbuild,contains scripts
rosbuild,managing the CMake-based build system
rosboost_cfg,determining cflags/lflags/etc.
rosbash,using ros
mk,include files
mk,building ROS
mk,"use cmake .mk,"
mk,calls CMake
mk,importing 3rdparty code.
joint_trajectory_controller,executing joint-space trajectories
joint_state_controller,publish joint state
joint_limits_interface,enforcing joint limits.
imu_sensor_controller,publish state
four_wheel_steering_controller,steering mobile base.
force_torque_sensor_controller,publish state
wire_viz,visualizes WIRE World Model input
wire_viz,using visualization markers
wire,is implements
wire,maintains one consistent world state estimate
wire,solves the data association problem
wire,maintaining multiple hypotheses
webargs,"parsing HTTP request arguments,"
webargs,"frameworks, including Flask, Django, Bottle, Tornado, Pyramid, webapp2, Falcon,"
ntpd_driver,sends TimeReference message time
ntpd_driver,ntpd server
libmavconn,unified connection handling classes
libmavconn,object mapper.
trajectory_tracker,following control package
trajectory_tracker,wheeled mobile robot
obj_to_pointcloud,pointcloud message converter package
neonavigation,including 3-dof configuration space planner
map_organizer,Layered costmap organizer package
octomap_server,loads a 3D map
octomap_server,"build 3D OctoMaps,"
moose_msgs,representing low-level motor commands
moose_description,robot description
sound_play,provides a ROS node
sound_play,translates commands
robot_calibration_msgs,calibrating a robot
robot_calibration,Calibrate a Robot
behaviortree_cpp,provides the Behavior Trees
behaviortree_cpp,core library.
audio_capture,file. The destination
audio_capture,play the audio
python_orocos_kdl,contains the python bindings PyKDL
orocos_kdl,contains a recent version
ypspur,is a mobile robot motion control software
ypspur,based commands.
urg_stamped,stamped URG driver
image_recognition_openpose,Exposes a service
image_recognition,extracting recognitions
vtec_ros,installs VisioTec packages
rospy_message_converter,rospy messages.
librealsense2,capturing data
ainstein_radar_tools,validating radar data.
zivid_samples,demonstrating use
zivid_camera,using the Zivid 3D cameras
webrtcvad_ros,provides a wrapper node
webrtcvad_ros,subscribes an audio topic
webrtcvad_ros,publish a flag
slic,contains the class elements
slic,is an implementation
slic,creating over-segmentations
rosping,is the tool
rosping,send ICMP ECHO_REQUEST
ros_google_cloud_language,clinet library
libsiftfast,compute SIFT features
jsk_tools,"emacs scripts, ros tool alias generator,"
ff,see http://www.loria.fr/~hoffmanj/ff.html
dynamic_tf_publisher,set the tf trensformation
audio_video_recorder,recording image
resized_image_transport,publish resized images.
imagesift,send a new message
imagesift,include: display
imagesift,shows the image
cob_robots,holds packages
cob_robots,operating Care-O-bot.
cob_hardware_config,contains configuration
cob_hardware_config,"(e.g. cob4-X, raw3-X)."
cob_hardware_config,is a directory
cob_default_robot_config,is e.g. preconfigured joint positions.
cob_bringup,provides launch files
cob_bringup,operating Care-O-bot.
checkerboard_detector,find checkboards
checkerboard_detector,Requires the image
audio_to_spectrogram,spectrogram (sensor_msgs/Image)
tile_map,provides a slippy map style interface
tile_map,visualizing OpenStreetMap
tile_map,tiles. A
tiago_moveit_config,using the tiago
tiago_description,"contains the description (mechanical, kinematic, visual, etc.)"
tiago_description,robot. The files
tiago_bringup,upload the robot description
tiago_bringup,start the controllers
tiago_2dnav_gazebo,run navigation
mav_msgs,containing messages
rqt_rosmon,is a replacement
rosmon_msgs,is a replacement
rosmon_core,is a replacement
rosmon,is a replacement
ublox_msg_filters,get a single callback
eigenpy,using Boost.Python
xarm7_vacuum_gripper_moveit_config,using the xarm7_with_vacuum_gripper
vigir_footstep_planning,is a stack
vigir_footstep_planning,planning system.
vigir_footstep_planning,contains the top-level launch files
vigir_footstep_planning,include all dependencies.
pr2_moveit_config,using the pr2
ros_environment,provides the environment variables
ros_environment,"`ROS_VERSION`, `ROS_DISTRO`, `ROS_PACKAGE_PATH`,"
asr_relation_graph_generator,Generates the tree
asr_relation_graph_generator,containing selected relations
asr_relation_graph_generator,recorded trajectories.
asr_psm,contains a system
asr_psm,recognize scenes
asr_psm,called the Probabilistic Scene Model
asr_psm,uses objects
asr_psm,be a reference
asr_psm,trains new scenes
asr_psm,calculates scene probabilities
asr_psm,trained scenes.
asr_flir_ptu_driver,is a package
asr_flir_ptu_driver,controlling a flir ptu
image_view,Includes a specialized viewer
image_pipeline,fills the gap
image_pipeline,getting raw images
depth_image_proc,processing depth images
depth_image_proc,include creating disparity images
camera_calibration,allows easy calibration
camera_calibration,using a checkerboard calibration target.
asr_resources_for_psm,contains resources
asr_psm_visualizations,using RVIZ
asr_ism_visualizations,provides visualization logic
hector_trajectory_server,keeps track
hector_trajectory_server,makes this data
hector_slam_launch,contains launch files
hector_slam_launch,launching hector_slam
hector_slam_launch,systems/setups/postprocessing scenarios.
hector_marker_drawing,hector_marker_drawing provides convenience functions
hector_mapping,is a SLAM approach
hector_mapping,exhibit roll/pitch motion
hector_mapping,"(of the sensor,"
hector_mapping,leverages the high update rate
hector_mapping,provides 2D pose estimates
hector_mapping,"provide explicit loop closing ability,"
hector_mapping,scenarios. The system
hector_mapping,"Unmanned Surface Vehicles, Handheld Mapping Devices"
hector_mapping,logged data
hector_map_tools,contains some functions
hector_map_tools,accessing information
hector_map_server,provides a service
hector_map_server,"retrieving the map,"
hector_map_server,raycasting based obstacle queries
hector_map_server,(finds next obstacle
hector_map_server,given start
hector_imu_tools,provides some tools
hector_imu_tools,processing IMU messages
hector_imu_attitude_to_tf,is a lightweight node
hector_imu_attitude_to_tf,publish the roll/pitch attitude angles
hector_geotiff_plugins,contains plugins
hector_geotiff_plugins,extend geotiff maps
hector_geotiff,provides a node
hector_geotiff,save occupancy
hector_compressed_map_transport,provides means
hector_compressed_map_transport,transporting compressed map data
visp_tracker,moving edge tracker
visp_tracker,computes the pose (i.e. position
visp_tracker,allow object online
visp_tracker,tracking using a camera.
visp_hand2eye_calibration,estimates the camera position
visp_hand2eye_calibration,using the ViSP library.
visp_camera_calibration,allows easy calibration
visp_camera_calibration,using a customizable pattern
visp_auto_tracker,automated pattern-based object tracker
visp_auto_tracker,wraps model-based trackers
visp_auto_tracker,package. The tracked object
visp_auto_tracker,have a QRcode
visp_auto_tracker,initialise the model-based trackers.
visp_auto_tracker,tracking achieves
visp_auto_tracker,re-initialize the tracker.
visp_auto_tracker,computes the pose (i.e. position
visp_auto_tracker,allow object online
visp_auto_tracker,tracking using a camera.
vision_visp,providing ViSP
tello_driver,provides a ROS interface
tello_driver,"modify the TelloPy library,"
tello_driver,apply any modification
pioneer_bringup,provides roslaunch scripts
pioneer_bringup,starting the core functionnalities
pioneer_bringup,"(Including Pioneer 2, Pioneer 3, Pioneer LX, AmigoBot, PeopleBot, PatrolBot, PowerBot, Seekur"
mobility_base_simulator,allowing easy installation
mobility_base_gazebo_plugins,provide simulated dynamics
mobility_base_examples,demo the Mobility Base SDK
mobility_base_description,contains the URDF
mobility_base_description,describing the Mobility Base.
um6,provides a C++ implementation
um6,publishing standard ROS orientation topics
iiwa_moveit,using the KUKA LBR IIWA
iiwa_gazebo,load a KUKA LBR IIWA
iiwa_description,contains the URDF
iiwa_control,containing controllers
theora_image_transport,provides a plugin
theora_image_transport,sending an image stream
simple_message,defines a simple messaging connection
simple_message,controller. Additional handler
simple_message,handling connection limited systems.
simple_message,is part
industrial_utils,is a library package
industrial_utils,captures common funcitonality
industrial_robot_simulator,is a stand
industrial_robot_client,contains generic clients
industrial_msgs,definitions. This package
industrial_msgs,is part
industrial_deprecated,deprecated package contains
industrial_deprecated,is the last place something
industrial_deprecated,are missing a package/node
industrial_deprecated,find it's contents
industrial_deprecated,consider a replacement.
industrial_core,contains packages
industrial_core,supporing industrial systems
image_transport_plugins,sensor_msgs/Image topics
image_transport_plugins,viewing a stream
image_transport_plugins,"off-robot, a video codec"
compressed_image_transport,provides a plugin
compressed_image_transport,sending images
compressed_depth_image_transport,provides a plugin
compressed_depth_image_transport,sending depth images
compressed_depth_image_transport,"(raw, floating-point) using PNG compression."
sicktoolbox,contains the ROS fork
mongodb_store,support MongoDB-based storage
mongodb_store,"saved messages, configurations"
shadow_robot,regroups the different ros interfaces
shadow_robot,provides an interface
novatel_msgs,represent raw Novatel SPAN data.
descartes_utilities,"ease practical use,"
descartes_utilities,includes conversions
descartes_moveit,base types
descartes_core,creates joint trajectories
descartes,is a ROS-Industrial project
descartes,performing path-planning
descartes,regarding motivation
nmea_comms,receiving the NMEA sentences.
distance_map_tools,contains the ROS node
distance_map_tools,instantiate the distance map plugin.
distance_map_opencv,contains the ROS node
distance_map_opencv,instantiate the distance map plugin.
distance_map_node,contains the ROS node
distance_map_node,instantiate the distance map plugin.
distance_map_deadreck,contains the ROS node
distance_map_deadreck,instantiate the distance map plugin.
rqt_bhand,test the Barrett Hand
bhand_controller,control the Barrett Hand
barrett_hand,control the Barrett Hand
topic_proxy,pull single messages
blob,provides a new message type blob/Blob
naoqi_dcm_driver,containing the hardware interface
smacha_ros,is a package
smacha_ros,provides ROS integration
smacha_ros,is a SMACHA server
smacha_ros,provides services
smacha,pronounced "smasha") aims
smacha,distilling the task-level simplicity
message_relay,"spawn message, service,"
message_relay,add support
kr6_r900_workspace_moveit_config,using the kr6_r900_workspace
kr6_r900_mit_suction_gripper_moveit_config,using the kr6_r900_mit_suction_gripper
framefab_kr6_r900_support,using KUKA kr6_r900sixx.
framefab_irb6600_workspace_moveit_config,using the framefab_irb6600_workspace
framefab_irb6600_support,using ABB6640. Includes
choreo_visual_tools,connect nodes
choreo_visual_tools,"work together, e.g. GUI, planning modules, visualization, etc."
choreo_task_sequence_processor,add print
choreo_task_sequence_processor,shrinked collision objects
choreo_task_sequence_processor,reset robot joint pose
choreo_simulation_execution,manages the execution
choreo_simulation_execution,generated action
choreo_simulation_execution,finish the "execution". Note
choreo_process_planning,handles joint trajectory planning.
choreo_planning_capability,provides a unified assembly_type (capability)
ethercat_hardware,creating a hardware interface
