Last_commit_date,package_description,package_name,
10/19/2021,This package provides a trajectory controller which controlls velocities for a chain of joints. This controller can be used e.g. with [[schunk_powercube_chain]].,cob_trajectory_controller,
10/19/2021,The cob_omni_drive_controller package provides a ros_controller plugin for the Care-O-bot omni-directional base platform.,cob_omni_drive_controller,
10/19/2021,The cob_obstacle_distance package calculates distances between both robot links and obstacles to be used for obstacle avoidance within cob_twist_controller framework.,cob_obstacle_distance,
10/19/2021,The cob_model_identifier package provides nodes to analyse the system response behavior of actuators to optimally tune PID controllers to be used with cob_twist_controller framework.,cob_model_identifier,
10/19/2021,"The cob_mecanum_controller_node provides a lightweight base controller for mecanum drive robots.     The out/input for the wheel command/state are wheel velocities in rad/s for the wheels     [front left, front right, rear left, rear right]",cob_mecanum_controller,
10/19/2021,The cob_hardware_emulation package provides idealized nodes emulating real robot hardware and/or physics simulation.,cob_hardware_emulation,
10/19/2021,The cob_frame_tracker package contains nodes that publish Twist commands based on the distance to the desired tf frame target.,cob_frame_tracker,
10/19/2021,The cob_footprint_observer package adjusts the footprint of the robot based on the setup (e.g. arm and/or tray).,cob_footprint_observer,
10/19/2021,Common messages and services used in various packages within cob_control.,cob_control_msgs,
10/19/2021,The cob_control_mode_adapter package provides a node that automatically loads respective ros_controllers depending on required control mode.,cob_control_mode_adapter,
10/19/2021,cob_control meta-package,cob_control,
10/19/2021,The cob_collision_velocity_filter package is a package for collision avoidance using teleoperation.,cob_collision_velocity_filter,
10/19/2021,"This package provides nodes that broadcast tf-frames along various (model-based) Cartesian paths (e.g. Linear, Circular).    The tf-frames are interpolated using a given velocity profile (e.g. Ramp, Sinoid) and can be used as targets for the cob_frame_tracker/cob_twist_controller.",cob_cartesian_controller,
10/19/2021,The 'cob_base_velocity_smoother' reads velocity messages and publishes messages of the same type for "smoothed" velocity to avoid shaking behavior.,cob_base_velocity_smoother,
10/19/2021,The cob_base_controller_utils package contains common utils for various base_controllers.,cob_base_controller_utils,
10/10/2021,The mqtt_bridge package,mqtt_bridge,
10/7/2021,ROS Driver for the Leuze RSL series laser scanner.,leuze_rsl_driver,
10/7/2021,The leuze_ros_drivers metapackage,leuze_ros_drivers,
10/7/2021,The phidget interface kit driver package for leuze lasers,leuze_phidget_driver,
10/7/2021,Contains the specific leuze messages.,leuze_msgs,
10/7/2021,This package contains .,leuze_description,
10/7/2021,This package contains .,leuze_bringup,
10/5/2021,The ros_opcua_srvs package implements ROS-services for opcua_communication metapackage.,ros_opcua_srvs,
10/5/2021,The ros_opcua_msgs package implements ROS-messages for opcua_communication metapackage.,ros_opcua_msgs,
10/5/2021,The ros_opcua_impl_python_opcua package implement binding for python-opcua - Pure Python OPC-UA / IEC 62541 Client and Server library.,ros_opcua_impl_python_opcua,
10/5/2021,The ros_opcua_impl_freeopcua package implements bindings for freeopcua - Open Source C++ OPC-UA Server and Client Library.,ros_opcua_impl_freeopcua,
10/5/2021,The ros_opcua_communication mate-package are ROS bidings for different open-source OPC-UA implementations. Currently following libraries are supported: FreeOpcUa and python-opcua.,ros_opcua_communication,
10/5/2021,Rokubimini Serial implementation.,rokubimini_serial,
10/5/2021,ROS message and service definitions.,rokubimini_msgs,
10/5/2021,Rokubimini Ethercat implementation.,rokubimini_ethercat,
10/5/2021,The rokubimini_description package,rokubimini_description,
10/5/2021,C++ library deriving the abstract communication interface classes in the rokubimini library for EtherCAT.,rokubimini_bus_manager,
10/5/2021,C++ library deriving the abstract communication interface classes in the rokubimini library for EtherCAT.,rokubimini,
10/5/2021,High resolution version of the ROS worker.,bota_worker,
10/5/2021,Contains a static signal handling helper class.,bota_signal_handler,
10/5/2021,ROS node wrapper with some convenience functions using *bota_worker*.,bota_node,
10/5/2021,ROS node for communicating with rokubimini sensors,bota_driver_testing,
10/5/2021,Meta package that contains all essential packages of BOTA driver.,bota_driver,
9/30/2021,The magni_viz package,magni_viz,
9/30/2021,The magni_teleop package,magni_teleop,
9/30/2021,The magni_robot package,magni_robot,
9/30/2021,The magni_nav package,magni_nav,
9/30/2021,The magni_gazebo package,magni_gazebo,
9/30/2021,Meta package for all the desktop side utilities for magni,magni_desktop,
9/30/2021,The magni_description package,magni_description,
9/30/2021,The magni_demos package,magni_demos,
9/30/2021,The magni_bringup package,magni_bringup,
9/29/2021,,staubli_val3_driver,
9/29/2021,,staubli_tx90_support,
9/29/2021,,staubli_tx90_gazebo,
9/29/2021,,staubli_tx60_support,
9/29/2021,,staubli_tx60_gazebo,
9/29/2021,,staubli_tx2_90_support,
9/29/2021,,staubli_tx2_60_support,
9/29/2021,,staubli_rx160_support,
9/29/2021,,staubli_rx160_moveit_plugins,
9/29/2021,,staubli_rx160_moveit_config,
9/29/2021,,staubli_rx160_gazebo,
9/29/2021,,staubli_resources,
9/29/2021,Experimental packages for Staubli manipulators within ROS-Industrial (metapackage).,staubli_experimental,
9/29/2021,ROS-Industrial support for Staubli manipulators (metapackage).,staubli,
9/29/2021,Python node that implements a minimal RSI interface simulator.,kuka_rsi_simulator,
9/29/2021,A ROS-Control hardware interface for use with KUKA RSI,kuka_rsi_hw_interface,
9/29/2021,,kuka_resources,
9/29/2021,,kuka_lbr_iiwa_support,
9/29/2021,,kuka_kr6_support,
9/29/2021,,kuka_kr5_support,
9/29/2021,,kuka_kr3_support,
9/29/2021,,kuka_kr210_support,
9/29/2021,,kuka_kr16_support,
9/29/2021,,kuka_kr150_support,
9/29/2021,,kuka_kr120_support,
9/29/2021,,kuka_kr10_support,
9/29/2021,Experimental packages for KUKA manipulators within ROS-Industrial.,kuka_experimental,
9/29/2021,A ROS-Control hardware interface for use with KUKA EKI,kuka_eki_hw_interface,
9/26/2021,The follow_waypoints node will listen for waypoints given as      poses and when instructed will follow them one by one by publishing goals      to move_base.,follow_waypoints,
9/19/2021,The move_base_sequence package,move_base_sequence,
9/19/2021,"Messages definitions for representing computer's hardware state, such as battery information, GPU, some miscellaneous sensors. Format is in ROS. Originally developed at",computer_status_msgs,
9/17/2021,"Messages, services and actions used by play_motion.",play_motion_msgs,
9/17/2021,Plays a pre-recorded motion on a robot,play_motion,
9/15/2021,PMB2-specific RGBD sensors launch and config files.,pmb2_rgbd_sensors,
9/15/2021,PMB2 navigation metapackage,pmb2_navigation,
9/15/2021,PMB2-specific maps and launch files.,pmb2_maps,
9/15/2021,PMB2-specific laser sensors launch and config files.,pmb2_laser_sensors,
9/15/2021,PMB2-specific launch files needed to run    navigation on the PMB2 robot.,pmb2_2dnav,
9/10/2021,rqt_runtime_monitor provides a GUI plugin viewing DiagnosticsArray messages.,rqt_runtime_monitor,
8/31/2021,A collection of ROS utilities for using WebRTC with ROS,webrtc_ros,
8/31/2021,WebRTC Native API,webrtc,
8/29/2021,"ROS package for Multiple objects detection, tracking and classification from LIDAR scans/point-clouds",multi_object_tracking_lidar,
8/27/2021,This package contains the hardware interface for qbrobotics® qbmove device.,qb_move_hardware_interface,
8/27/2021,This package contains the Gazebo ROS control plugins for qbrobotics® qbmove device.,qb_move_gazebo,
8/27/2021,This package contains the ROS description for qbrobotics® qbmove device.,qb_move_description,
8/27/2021,This package contains the ROS control node for qbrobotics® qbmove device.,qb_move_control,
8/27/2021,This package contains the ROS interface for qbrobotics® qbmove device.,qb_move,
8/27/2021,This package contains the hardware interface for qbrobotics® qbhand device.,qb_hand_hardware_interface,
8/27/2021,This package contains the Gazebo ROS control plugins for qbrobotics® SoftHand device.,qb_hand_gazebo,
8/27/2021,This package contains the ROS description for qbrobotics® qbhand device.,qb_hand_description,
8/27/2021,This package contains the ROS control node for qbrobotics® qbhand device.,qb_hand_control,
8/27/2021,This package contains the ROS interface for qbrobotics® qbhand device.,qb_hand,
8/27/2021,This package contains a device-independent utility functions for qbrobotics® devices.,qb_device_utils,
8/27/2021,This package contains the device-independent custom ROS services for qbrobotics® devices.,qb_device_srvs,
8/27/2021,This package contains the device-independent custom ROS messages for qbrobotics® devices.,qb_device_msgs,
8/27/2021,This package contains a device-independent hardware interface for qbrobotics® devices.,qb_device_hardware_interface,
8/27/2021,This package contains the Gazebo ROS control custom dependencies for qbrobotics® devices.,qb_device_gazebo,
8/27/2021,This package contains a device-independent API wrapper for qbrobotics® devices.,qb_device_driver,
8/27/2021,This package contains a device-independent description utilities for qbrobotics® devices.,qb_device_description,
8/27/2021,This package contains a device-independent control library for qbrobotics® devices.,qb_device_control,
8/27/2021,This package contains a device-independent bringup utilities for qbrobotics® devices.,qb_device_bringup,
8/27/2021,This package contains a device-independent ROS interface for qbrobotics® devices.,qb_device,
8/27/2021,"message to control end-effector pose, robot sitiffness and velocity",qb_chain_msgs,
8/27/2021,This package contains the ROS description for complex chains of qbrobotics® devices.,qb_chain_description,
8/27/2021,"This package contains the specific controllers for qbrobotics® kinematic structures, e.g. the qbdelta controller.",qb_chain_controllers,
8/27/2021,This package contains the ROS node to control multiple qbrobotics® devices simultaneously.,qb_chain_control,
8/27/2021,This package contains the ROS interface to control multiple qbrobotics® devices simultaneously.,qb_chain,
8/23/2021,Statistics msgs package,pal_statistics_msgs,
8/23/2021,The pal_statistics package,pal_statistics,
8/23/2021,Node that collects statistics from topics and sends them to carbon,pal_carbon_collector,
8/15/2021,ORB SLAM2 ros implementation.,orb_slam2_ros,
8/13/2021,ROS tools and scripts relates to tf,tf_tools,
8/13/2021,Stack with interesting ROS tools,srv_tools,
8/13/2021,pointcloud_tools,pointcloud_tools,
8/13/2021,plot_tools,plot_tools,
8/13/2021,ROS tools and scripts related to launchfiles,launch_tools,
8/13/2021,ROS tools and scripts related to bagfiles,bag_tools,
8/11/2021,The summit_xl_robot_local_control package,summit_xl_robot_local_control,
8/11/2021,The summit_xl_perception package for configuration files,summit_xl_perception,
8/11/2021,"The summit_xl_pad package allows to control the summit_xl product range (summit_xl, summit_xl_omni, x_wam) teleoperation",summit_xl_pad,
8/11/2021,Navigation launch and config files for Summit XL robot.,summit_xl_navigation,
8/11/2021,The summit_xl_localization package,summit_xl_localization,
8/11/2021,An automatically generated package with all the configuration and launch files for using the summit_xl with the MoveIt! Motion Planning Framework,summit_xl_j2s7s300_moveit_config,
8/11/2021,An automatically generated package with all the configuration and launch files for using the summit_xl with the MoveIt! Motion Planning Framework,summit_xl_j2s6s300_moveit_config,
8/11/2021,An automatically generated package with all the configuration and launch files for using the summit_xl with the MoveIt! Motion Planning Framework,summit_xl_j2s6s200_moveit_config,
8/11/2021,An automatically generated package with all the configuration and launch files for using the summit_xl with the MoveIt! Motion Planning Framework,summit_xl_j2n6s200_moveit_config,
8/11/2021,URDF description of the Summit XL and Summit XL HL and omni versions,summit_xl_description,
8/11/2021,This package contains the launch files that load the required controller interfaces for simulation in Gazebo.,summit_xl_control,
8/11/2021,"URDF description of the Summit XL and Summit XL HL, platform messages and other files for simulation.",summit_xl_common,
8/10/2021,"The ira_laser_tools package. These nodes are meant to provide some utils for lasers, like listen to different laser scan sources and merge them in a single scan or generate virtual laser scans from a pointcloud.",ira_laser_tools,
8/6/2021,This package contains visualization tools for Franka Emika.,franka_visualization,
8/6/2021,franka_ros is a metapackage for all Franka Emika ROS packages,franka_ros,
8/6/2021,franka_msgs provides messages specific to Franka Emika research robots,franka_msgs,
8/6/2021,franka_hw provides hardware interfaces for using Franka Emika research robots with ros_control,franka_hw,
8/6/2021,This package implements the franka gripper of type Franka Hand for the use in ros,franka_gripper,
8/6/2021,This package offers the FrankaHWSim Class to simulate a Franka Robot in Gazebo,franka_gazebo,
8/6/2021,franka_example_controllers provides example code for controlling Franka Emika research robots with ros_control,franka_example_controllers,
8/6/2021,franka_description contains URDF files and meshes of Franka Emika robots,franka_description,
8/6/2021,franka_control provides a hardware node to control a Franka Emika research robot,franka_control,
8/4/2021,rqt_nav_view provides a gui for viewing navigation maps and paths.,rqt_nav_view,
8/4/2021,The geonav_transform package,geonav_transform,
8/3/2021,ROS driver for Crazyflie Nano Quadcopter from Bitcraze,crazyflie_driver,
8/3/2021,URDF Model for the Crazyflie Nano Quadcopter from Bitcraze,crazyflie_description,
8/3/2021,"Examples on how to use the crazyflie package (teleoperation, rviz integration)",crazyflie_demo,
8/3/2021,Controller to fly a Crazyflie in a space with location feedback (such as motion capture).,crazyflie_controller,
8/3/2021,ROS integration for Crazyflie Nano Quadcopter from Bitcraze,crazyflie,
8/2/2021,The,rosaria,
7/29/2021,ROS package suite for Raspberry Pi Mouse Simulator,raspimouse_sim,
7/29/2021,The raspimouse_gazebo package,raspimouse_gazebo,
7/29/2021,The raspimouse_control package,raspimouse_fake,
7/27/2021,rqt_robot_steering provides a GUI plugin for steering a robot using Twist messages.,rqt_robot_steering,
7/27/2021,Metapackage of rqt plugins that are particularly used with robots   during its operation.,rqt_robot_plugins,
7/27/2021,rqt_robot_dashboard provides an infrastructure for building robot dashboard plugins in rqt.,rqt_robot_dashboard,
7/27/2021,rqt_logger_level provides a GUI plugin for configuring the logger level of ROS nodes.,rqt_logger_level,
7/27/2021,rqt_console provides a GUI plugin for displaying and filtering ROS messages.,rqt_console,
7/24/2021,The ROS device driver for Livox 3D LiDARs and Livox Hub,livox_ros_driver,
7/19/2021,Localization using fiducial markers,fiducials,
7/19/2021,ROS node to build a 3D map of fiducials and estimate robot pose from fiducial transforms,fiducial_slam,
7/19/2021,Package containing message definitions for fiducials,fiducial_msgs,
7/19/2021,The aruco_gazebo package,aruco_gazebo,
7/19/2021,Fiducial detection based on the aruco library,aruco_detect,
7/16/2021,Exposes ROS-Industrial's RobotStatus info from hardware_interfaces for consumption by ros_control controllers.,industrial_robot_status_interface,
7/16/2021,A ros_control controller that reports robot status using the ROS-Industrial RobotStatus message.,industrial_robot_status_controller,
7/14/2021,This package provides a gui program as well as a rviz plugin to publish static transforms.  Both support the transformation between various Euler angle representations.  The rviz plugin also allows to configure the transform with an interactive marker.,agni_tf_tools,
7/13/2021,ROS packages for the turtlebot3 simulation (meta package),turtlebot3_simulations,
7/13/2021,Gazebo simulation package for the TurtleBot3,turtlebot3_gazebo,
7/13/2021,"Package for TurtleBot3 fake node. With this package, simple tests can be done without a robot.    You can do simple tests using this package on rviz without real robots.",turtlebot3_fake,
7/13/2021,Provides teleoperation using keyboard for OpenManipulator.,open_manipulator_teleop,
7/13/2021,An automatically generated package with all the configuration and launch files for using the open_manipulator with the MoveIt! Motion Planning Framework,open_manipulator_moveit,
7/13/2021,"OpenManipulator library (Kinematics lib., Dynamixel lib., Drawing path lib.)",open_manipulator_libs,
7/13/2021,OpenManipulator 3D model description for visualization and simulation,open_manipulator_description,
7/13/2021,OpenManipulator controller package,open_manipulator_controller,
7/13/2021,OpenManipulator GUI control package based on QT,open_manipulator_control_gui,
7/13/2021,"ROS-enabled OpenManipulator is a full open robot platform consisting of OpenSoftware​, OpenHardware and OpenCR(Embedded board)​.    The OpenManipulator is allowed users to control it more easily by linking with the MoveIt! package. Moreover it has full hardware compatibility with TurtleBot3​.     Even if you do not have a real robot, you can control the robot in the Gazebo simulator​.",open_manipulator,
7/9/2021,RTAB-Map's ros-pkg. RTAB-Map is a RGB-D SLAM approach with real-time constraints.,rtabmap_ros,
7/1/2021,The KVH GEO FOG 3D rviz plugin package,kvh_geo_fog_3d_rviz,
7/1/2021,kvh_geo_fog_3d_msgs contains raw messages for the KVH GEO FOG 3D INS devices.,kvh_geo_fog_3d_msgs,
7/1/2021,A ROS driver for the KVH Geo Fog 3D INS family of systems.,kvh_geo_fog_3d_driver,
7/1/2021,"Provides a driver node for KVH GEO FOG 3D INS sensors, messages, and rviz plugins.",kvh_geo_fog_3d,
6/30/2021,Metapackage for OpenMANIPULATOR-P Simulations,open_manipulator_p_simulations,
6/30/2021,Package for OpenMANIPULATOR-P Gazebo,open_manipulator_p_gazebo,
6/30/2021,"Darknet is an open source neural network framework that runs on CPU and GPU. You only look once (YOLO) is a state-of-the-art, real-time object detection system.",darknet_ros_msgs,
6/30/2021,"Darknet is an open source neural network framework that runs on CPU and GPU. You only look once (YOLO) is a state-of-the-art, real-time object detection system.",darknet_ros,
6/29/2021,"This package is composed of 'dynamixel_item', 'dynamixel_tool', 'dynamixel_driver' and 'dynamixel_workbench' class.    The 'dynamixel_item' is saved as control table item and information of Dynamixels.    The 'dynamixel_tool' class loads its by model number of Dynamixels.    The 'dynamixel_driver' class includes wraped function used in DYNAMIXEL SDK.    The 'dynamixel_workbench' class make simple to use Dynamixels",dynamixel_workbench_toolbox,
6/29/2021,This package contains nodes that control the Dynamixel by communicating with the server registered in the 'dynamixel_workbench_controllers' package,dynamixel_workbench_operators,
6/29/2021,This package includes ROS messages and services for dynamixel_workbench packages,dynamixel_workbench_msgs,
6/29/2021,This package contains examples of applying the 'dynamixel_workbench_toolbox' library developed on the basis of dynamixel_sdk to various operating modes of Dynamixel.,dynamixel_workbench_controllers,
6/29/2021,"Dynamixel-Workbench is dynamixel solution for ROS.    This metapackage allows you to easily change the ID, baudrate and operating mode of the Dynamixel.    Furthermore, it supports various controllers based on operating mode and Dynamixel SDK.    These controllers are commanded by operators.",dynamixel_workbench,
6/28/2021,,abb_driver,
6/25/2021,Simulation packages for OpenManipulator,open_manipulator_simulations,
6/25/2021,Gazebo configurations package for OpenManipulator,open_manipulator_gazebo,
6/24/2021,The pilz_trajectory_generation package containing the MoveIt! plugin pilz_command_planner.,pilz_trajectory_generation,
6/24/2021,"An Easy to use API to execute standard industrial robot commands like Ptp, Lin, Circ and Sequence using Moveit.",pilz_robot_programming,
6/24/2021,The pilz_msgs package,pilz_msgs,
6/24/2021,Helper scripts and functionality to test industrial motion generation,pilz_industrial_motion_testutils,
6/24/2021,The pilz_industrial_motion package,pilz_industrial_motion,
6/24/2021,The pilz_extensions package. Here are classes extending the functionality of other packages.  On the long run these extensions should become pull requests on the respective packages.,pilz_extensions,
6/24/2021,Messages and services package for OpenManipulator to send information about state or pose,open_manipulator_msgs,
6/22/2021,AutoRace ROS packages for feature detection with TurtleBot3 Auto,turtlebot3_autorace_tunnel_detect,
6/22/2021,TurtleBot3 AutoRace ROS package that TurtleBot3 Auto's core,turtlebot3_autorace_tunnel_core,
6/22/2021,TurtleBot3 AutoRace ROS package that controls TurtleBot3 Auto,turtlebot3_autorace_tunnel_control,
6/22/2021,"TurtleBot3 AutoRace ROS package that controls Raspberry Pi Camera, and process the image",turtlebot3_autorace_tunnel_camera,
6/22/2021,AutoRace ROS packages for AutoRace with TurtleBot3 (meta package),turtlebot3_autorace_tunnel,
6/22/2021,AutoRace ROS packages for feature detection with TurtleBot3 Auto,turtlebot3_autorace_traffic_light_detect,
6/22/2021,TurtleBot3 AutoRace ROS package that TurtleBot3 Auto's core,turtlebot3_autorace_traffic_light_core,
6/22/2021,TurtleBot3 AutoRace ROS package that controls TurtleBot3 Auto,turtlebot3_autorace_traffic_light_control,
6/22/2021,"TurtleBot3 AutoRace ROS package that controls Raspberry Pi Camera, and process the image",turtlebot3_autorace_traffic_light_camera,
6/22/2021,AutoRace ROS packages for AutoRace with TurtleBot3 (meta package),turtlebot3_autorace_traffic_light,
6/22/2021,AutoRace ROS packages for feature detection with TurtleBot3 Auto,turtlebot3_autorace_parking_detect,
6/22/2021,TurtleBot3 AutoRace ROS package that TurtleBot3 Auto's core,turtlebot3_autorace_parking_core,
6/22/2021,TurtleBot3 AutoRace ROS package that controls TurtleBot3 Auto,turtlebot3_autorace_parking_control,
6/22/2021,"TurtleBot3 AutoRace ROS package that controls Raspberry Pi Camera, and process the image",turtlebot3_autorace_parking_camera,
6/22/2021,AutoRace ROS packages for AutoRace with TurtleBot3 (meta package),turtlebot3_autorace_parking,
6/22/2021,The turtlebot3_autorace_msgs package,turtlebot3_autorace_msgs,
6/22/2021,AutoRace ROS packages for feature detection with TurtleBot3 Auto,turtlebot3_autorace_level_crossing_detect,
6/22/2021,TurtleBot3 AutoRace ROS package that TurtleBot3 Auto's core,turtlebot3_autorace_level_crossing_core,
6/22/2021,TurtleBot3 AutoRace ROS package that controls TurtleBot3 Auto,turtlebot3_autorace_level_crossing_control,
6/22/2021,"TurtleBot3 AutoRace ROS package that controls Raspberry Pi Camera, and process the image",turtlebot3_autorace_level_crossing_camera,
6/22/2021,AutoRace ROS packages for AutoRace with TurtleBot3 (meta package),turtlebot3_autorace_level_crossing,
6/22/2021,AutoRace ROS packages for feature detection with TurtleBot3 Auto,turtlebot3_autorace_intersection_detect,
6/22/2021,TurtleBot3 AutoRace ROS package that TurtleBot3 Auto's core,turtlebot3_autorace_intersection_core,
6/22/2021,TurtleBot3 AutoRace ROS package that controls TurtleBot3 Auto,turtlebot3_autorace_intersection_control,
6/22/2021,"TurtleBot3 AutoRace ROS package that controls Raspberry Pi Camera, and process the image",turtlebot3_autorace_intersection_camera,
6/22/2021,TurtleBot3 AutoRace 2020 : Intersection mission ROS 1 packages (meta package),turtlebot3_autorace_intersection,
6/22/2021,AutoRace ROS packages for feature detection with TurtleBot3 Auto,turtlebot3_autorace_construction_detect,
6/22/2021,TurtleBot3 AutoRace ROS package that TurtleBot3 Auto's core,turtlebot3_autorace_construction_core,
6/22/2021,TurtleBot3 AutoRace ROS package that controls TurtleBot3 Auto,turtlebot3_autorace_construction_control,
6/22/2021,"TurtleBot3 AutoRace ROS package that controls Raspberry Pi Camera, and process the image",turtlebot3_autorace_construction_camera,
6/22/2021,TurtleBot3 AutoRace 2020 : Construction mission ROS 1 packages (meta package),turtlebot3_autorace_construction,
6/22/2021,TurtleBot3 AutoRace 2020 ROS 1 packages (meta package),turtlebot3_autorace_2020,
6/22/2021,This package contains the manipulation API and functions for controlling the manipulator.,robotis_manipulator,
6/20/2021,Point Grey (FLIR) Spinnaker based camera driver (Blackfly S etc.),spinnaker_sdk_camera_driver,
6/18/2021,The xbot_tools package,xbot_tools,
