robotID,robotName,category,website,wiki,description,tags
49,Fetch,ground,http://docs.fetchrobotics.com/,http://wiki.ros.org/Robots/fetch,"Fetch is a mobile manipulation platfor m built by Fetch Robotics. The Fetch software system uses ROS extensively. All Fetch capabilities are thus available via ROS messages, services or actions.","diff-drive,ground,mobile manipulator"
50,ForteRC,ground,,http://wiki.ros.org/ingeniarius/ForteRC,ForteRC is a mobile robotic platform designed for research in the field of social robotics.,"holonomic,indoor,research"
51,Freight,ground,http://docs.fetchrobotics.com/,http://wiki.ros.org/Robots/freight,"Freight is a mobile robotics platform built by Fetch Robotics. The Freight software system uses ROS extensively. All Freight capabilities are thus available via ROS messages, services or actions.","diff-drive,ground,indoor"
52,Gapter,aerial,http://wiki.gaitech.hk/gapter/index.html,http://wiki.ros.org/gapter,Educational copter using ROS and MAVLink,"educational,copter,MAVLink"
53,GoPiGo3,ground,http://dexterindustries.com/gopigo,http://wiki.ros.org/Robots/gopigo3,"RaspberryPi-based educational robot, rated 5/5 by the MagPi, the official Raspberry Pi Foundation magazine. The GoPiGo3 offers a full range to support every type of learners. It can be used by beginner coders using Bloxter, intermediate users have a pre-installed JupyterLab, and advanced users can now do ROS.","affordable,dexter industries,education,educational ,indoor,low cost,melodic,mobile robot,modular robotics,teaching robot,wheeled,wifi,wireless"
54,Hamster,ground,https://www.hamster-robot.com/,http://wiki.ros.org/Robots/Hamster,Hamster is a robust micro Autonomous Unmanned Ground Vehicle.,"ackermann,ground,indoor,kinetic,melodic,ros2,research"
55,Han's Cute,manipulator,http://www.hansrobot.com/,http://wiki.ros.org/Robots/Hans-Cute,Han's Cute is an affordable 7-DOF manipulator designed for research and automation.,"7dof,arm,manipulator,research,moveit"
56,Hansbot,ground,http://www.hansmotor.com/,http://wiki.ros.org/Robots/hansbot,Hansbot is a high-quality and low-cost industrial mobile robot that has comparable performance with many well known players in mobile robotics area.,"industrial,mobile base,research"
57,HiroNXO,ground,http://nextage.kawada.jp/en/concept/,http://wiki.ros.org/Robots/HiroNXO,The NEXTAGE OPEN / Hiro (HiroNXO) is a manipulation platform built by Kawada Industries.,"mobile manipulator,research"
58,IR-C100,ground,http://amrobots.net/en/ir-c100-3/,http://wiki.ros.org/Robots/IR-C100,"IR-C100 is the last generation of logistics and transportation robots. It uses the last navigation method without any magnetic system.Strip, reflector, QR code, intelligent obstacle avoidance,eliminating the need for traditional AVG.Intelligent, flexible, safe, can be deployed in just half day.The overall cost is lower than similar products.","autonomous,diff-drive,elevator,indoor,logistics robot,mobile robot,research"
59,IR-R300,ground,http://amrobots.net/en/ir-m300-3/,http://wiki.ros.org/Robots/IR-R300,"IR-R300 is the last generation of logistics and transportation robots.It uses the last navigation method without any magnetic system.Strip, reflector, QR code, intelligent obstacle avoidance, eliminating the need for traditional AVG.Intelligent, flexible, safe, can be deployed in just half day.The overall cost is lower than similar products.","autonomous,diff-drive,elevator,indoor,logistics robot,mobile robot,research"
60,Innok Heros,ground,http://www.innok-robotics.de/en/products/heros/applications/research-platform,http://wiki.ros.org/Robots/Innok-Heros,"Innok Heros is a modular outdoor all-terrain robot platform available in 2 or 4 wheel drive configurations. Due to its modular construction, it can be easily modified to suit lots of different agricultural, logistics, industrial and research applications.","ground,hydro,indigo,jade,kinetic,lunar,outdoor,rugged,autonomous,diff-drive,ground,outdoor,mobile base,mobile robot,research,skidsteer"
61,Intel Edison,component,https://software.intel.com/en-us/iot/hardware/edison,http://wiki.ros.org/Edison,The Intel® Edison is an ultra small computing platform that will allow you to jump into ROS with a stamp size computer.,"computation,single-board-computer"
62,Intel Euclid,component,http://euclidcommunity.intel.com/,https://wiki.ros.org/IntelEuclid,"The Intel® Euclid™ Development Kit features the integration of Intel® RealSense™ depth camera technology, a motion camera, and an Intel® Atom™ x7-Z8700 Quad core CPU to produce a compact and sleek all-in-one computer and depth camera. The Intel® Euclid™ Development Kit is designed to be operable out of the box with pre-installed software including an Ubuntu® operating system.","computation,depth,development kit,perception,tracking"
63,JACO,manipulator,,http://wiki.ros.org/Robots/JACO,"The JACO Robot Arm is modular and efficient, with a payload-to-weight ratio that is ideal for day to day activities.","arm,research"
64,Jaguar,ground,http://jaguar.drrobot.com/index.asp,http://wiki.ros.org/Robots/Jaguar,An all terrain unmanned ground vehicle.,"ground,outdoor"
65,Jazz,ground,,http://wiki.ros.org/Robots/Jazz,Jazz is a mobile telepresence robot developed by Gostai.,"ground,inside,telepresence"
66,Jet,ground,https://developer.nvidia.com/jet-robot,http://wiki.ros.org/Robots/Jet,"Co-developed by NVIDIA and the robotics department at California Polytechnic State University, ‘Jet’ is a smart, autonomous robot based on the NVIDIA Jetson embedded development platform utilizing Servocity Acotobotics components. Jet’s brain is built around the NVIDIA Tegra SoC and uses the same NVIDIA computing cores designed into supercomputers. This gives Jet compute-intensive computer vision, artificial intelligence (AI), and self-driving capabilities in a low-cost package.","autonomous,development kit,diff-drive,education,educational,ground,mobile robot,teaching robot,wheeled"
67,Kingfisher,marine,http://clearpathrobotics.com/kingfisher,http://wiki.ros.org/Robots/Kingfisher,"Kingfisher Unmanned Surface Vessel (USV) is an agile, battery operated boat designed for research and rapid prototyping.","boat,surface"
68,Kobuki,ground,,http://wiki.ros.org/kobuki,A small mobile base which is commonly used as the TurtleBot.,"diff-drive,ground,indoor"
69,LIMO,ground,https://global.agilex.ai/products/limo,https://github.com/agilexrobotics/limo-doc,"LIMO is an innovative multi-modal, compact, and customizable mobile robot with Al modules and open-sources packages, which enables education, researchers, enthusiasts to program and develop Al robots easier. The LIMO has four steering modes including Omni-directional steering, tracked steering, Ackermann and four-wheel differential, in line with strong perception sensors and Nvidia Jetson Nano, making it a better platform to develop more indoor and outdoor industrial applications while learning ROS.","slam,Educational,eaching robot,multi-modal robotis,ROS2,ackerman,deep learning,development kit,education,mecanum,modular robotics,multi-modal,omnidirectional,perception,platform,raspberry pi,robotis,teaching robot,tracking"
70,Lego NXT,component,,http://wiki.ros.org/Robots/NXT,NXT is a modular robotics kit manufactured by Lego.,retail
71,Leo Rover,ground,http://www.leorover.tech/,http://wiki.ros.org/Robots/LeoRover,"Leo Rover is an outdoor robotics kit ready for developers. Leo Rover provides a sturdy mobile robot platform with remote control, video streaming, odometry and autonomy capabilities.","autonomous,diff-drive,education,mobile robot,open-source,outdoor,research,wheeled,wireless"
72,LoCoBot,ground,https://www.trossenrobotics.com/locobot-pyrobot-ros-rover.aspx,http://wiki.ros.org/locobot,"The LoCoBot is a mobile manipulator from Carnegie Mellon University and designed to run Facebook AI's PyRobot. PyRobot is an open source, lightweight, high-level interface on top of the robot operating system (ROS). It provides a consistent set of hardware-independent mid-level APIs to control different robots. PyRobot abstracts away details about low-level controllers and interprocess communication so users can focus on building high-level AI robotics applications.","Kobuki,dynamixel,ground,indoor,manipulator,mobile base,mobile manipulator,pyrobot,research,wheeled"
73,MD80,component,https://www.mabrobotics.pl/servos,http://wiki.ros.org/MABRobotics,MD80 is an integrated brushless motor controller designed by MAB robotics for transforming regular brushless motors into advanced actuators.,"MABRobotics,MD80,QDD,actuator,brushless,controller,motor,walking robot"
74,MICO,manipulator,,http://wiki.ros.org/Robots/MICO,"The MICO Robot Arm is modular and efficient, with a payload-to-weight ratio that is ideal for day to day activities.","arm,research"
75,MIP Junior,manipulator,https://www.mip-robotics.com/,http://wiki.ros.org/mip-robotics/junior-300,"MIP robotics making industrial robotics accessible ! The Junior is our first industrial collaborative robotic arm starting at 9500€, easy to program and safe. Give it a try ! Compatible with to Gazebo and MoveIt!","MIP robotics,ROS-industrial,arm,robotic arm,collaborative,cobot,industrial,pick and place"
76,MRP2,ground,,http://wiki.ros.org/Robots/MRP2,MRP2 is an easy to use mobile research robot developed by Milvus Robotics.,"diff-drive,indigo,mobile base,research"
77,Maggie,ground,http://roboticslab.uc3m.es/roboticslab/robot/maggie,http://wiki.ros.org/Robots/Maggie,Maggie robot is a social robot platform built by the Social Robots Group from RoboticsLab at University Carlos III of Madrid.,"mobile robot,research"
78,Magni Silver,ground,https://ubiquityrobotics.com/,http://wiki.ros.org/Robots/Magni,"Magni Silver provides a solid base to jumpstart your robotics application. With a payload over 100kg, at an affordable price, Magni Silver is a powerful and capable mobile base.","autonomous,education,kinetic,mobile robot,platform,research"
79,Mecanumbot,ground,http://javconcepts.com/tag/mecanumbot/,http://wiki.ros.org/Robots/Mecanumbot,Mecanumbot is a software research platform with a holonomic base,"holonomic,mecanum,mobile base"
80,Mecanumrover Ver.3.0,ground,https://www.vstone.co.jp/robotshop/index.php?main_page=product_info&cPath=156_923&products_id=5345,http://wiki.ros.org/Robots/Mecanumrover/MecanumroverVer.3.0,Mecanumrover Ver.3.0 is a four-wheel drive mobile platform with BLDC mecanum wheels and has a payload of 40kg which is developed by Vstone.,"mecanum,mobile base,holonomic,research,indoor,vstone,noetic,melodic"
81,Megarover F120A,ground,https://www.vstone.co.jp/robotshop/index.php?main_page=product_info&cPath=156_923&products_id=5346,http://wiki.ros.org/Robots/Megarover/MegaroverF120A,Megarover F120A is a differential drive mobile base robot with a payload of 120kg developed by Vstone.,"diff-drive,indoor,melodic,mobile base,noetic,research,120kg payload,vstone"
82,Megarover Ver.3.0,ground,https://www.vstone.co.jp/products/wheelrobot/ver.3.0_normal.html,http://wiki.ros.org/Robots/Megarover/MegaroverVer.3.0,Megarover Ver.3.0 is a differential drive mobile base robot with a payload of 40kg developed by Vstone.,"diff-drive,indoor,melodic,mobile base,noetic,research,vstone"
83,MiabotPRO,ground,,http://wiki.ros.org/Robots/miabotPro,"The Merlin MiabotPRO is a small autonomous mobile robot featuring a high precision drive train, dual processor design, onboard wireless communications, with extensive support for additional peripherals.","autonomous,cturtle,mobile robot,research"
84,Mini-Lab,ground,http://enovarobotics.com/,http://wiki.ros.org/Mini-Lab,The Mini-Lab is a medium sized robot that offers the best trade-off between robustness and price. It is suitable for research as a test-bed for the development of indoor applications.,"ground,indoor"
85,Mini-Turty II,ground,https://www.rhoeby.com/product/mini-turty-ii,http://wiki.ros.org/Mini-Turty-II,The low-cost ROS robot with big capabilities!,"autonomous,computer vision,diff drive,education,ground,learning,lidar,low cost,mobile base,navigation,open hardware"
86,Mobility Base,ground,,http://wiki.ros.org/Robots/Mobility_Base,The Mobility Base is a mobile base for the Rethink Robotics Baxter robot.,"baxter,ground"
87,Motoman,manipulator,http://wiki.ros.org/motoman,http://wiki.ros.org/motoman,"The motoman stack constains libraries, configuration files, and ROS nodes for controlling a Motoman robot from ROS-Industrial","ROS-Industrial,arm,industrial,manipulator,motoman"
88,Mover,manipulator,,http://wiki.ros.org/Robots/CPRMover,"The Commonplace Robotics Mover robots are developed for education, research and entertainment.","arm,research"
89,Nao,ground,https://www.ald.softbankrobotics.com/en/cool-robots/nao,http://wiki.ros.org/nao,Nao is a commercially available humanoid robot built by Aldebaran. The ROS driver was originally developed by Freiburg's Humanoid Robots Lab and Armin Hornung.,"biped,humanoid,walking"
90,Nav2,ground,,http://wiki.ros.org/Robots/Nav2,"The Nav2 is a modular robotics platform created by Crosswing Inc, consisting of an omniwheel holonomic mobile base and interchangeable upper components.","holonomic,mobile robot,omni-wheel"
91,Navio2,component,http://emlid.com/,http://wiki.ros.org/Robots/Navio2,Navio2 Autopliot Shield for Raspberry Pi board,"ground,aerial,computation,research,autonomous,quadcopter"
92,Ned,manipulator,https://niryo.com/product/ned/,http://wiki.ros.org/Robots/ned,"Ned is a collaborative and open source 6 axis robot made in France, and the second robot developped by Niryo. It is aimed for higher education, vocational training and R&D laboratories. Its use is particularly adapted to study robotics and programming in the context of industry 4.0.","6dof,affordable,arm,co-bot,dynamixel,education,melodic,moveit,raspberry pi,research"
93,Neobotix MMO-500,ground,https://www.neobotix-robots.com/mobile-manipulator-mmo-500.html,http://wiki.ros.org/Robots/neobotix,"The mobile manipulator MMO-500 combines the omnidirectional base MPO-500 with a light-weight robot arm from Universal Robots, Kuka, Schunk or PILZ.","holonomic,mobile base,mobile manipulator,omniwheel,omnidirectional,research,neobotix"
94,Neobotix MMO-700,ground,https://www.neobotix-robots.com/mobile-manipulator-mmo-700.html,http://wiki.ros.org/Robots/neobotix,"The mobile manipulator MMO-700 combines the omnidirectional base MPO-700 with a light-weight robot arm from Universal Robots, Kuka, Schunk or PILZ.","holonomic,mobile base,mobile manipulator,omniwheel,omnidirectional,research,neobotix"
95,Neobotix MP-400,ground,http://www.neobotix-robots.com/mobile-robot-mp-400.html,http://wiki.ros.org/Robots/neobotix/mp_400,"Neobotix MP-400 is a small, agile robot for material flow and intralogistics in industrial applications. Automatic charging station and load handling system available.","mobile base,diff-drive,industrial,retail,neobotix"
96,Neobotix MP-500,ground,https://www.neobotix-robots.com/mobile-robot-mp-500.html,http://wiki.ros.org/Robots/neobotix,The MP-500 is a medium sized mobile robot designed for indoor applications that are too rough for other robots.,"neobotix,mobile base,diff-drive,research"
97,Neobotix MPO-500,ground,http://www.neobotix-robots.com/mecanum-robot-mpo-500.html,http://wiki.ros.org/Robots/neobotix/mpo_500,The mobile robot Neobotix MPO-500 features four Mecanum wheels which provide an extraordinary manoeuvrability.,"holonomic,mecanum,mobile base,omnidirectional,research,neobotix"
98,Neobotix MPO-700,ground,http://www.neobotix-robots.com/omnidirectional-robot-mpo-700.html,http://wiki.ros.org/Robots/neobotix/mpo_700,The mobile robot Neobotix MPO-700 is the ideal base for high-end service robots. Its four Omni-Drive-Modules enable it to move extremely smoothly into any direction.,"holonomic,mobile base,omniwheel,omnidirectional,research,neobotix"
99,Niryo One,manipulator,https://niryo.com/niryo-one/,http://wiki.ros.org/niryo_one,"Niryo One is a collaborative and open source 6-axis robot made in France for : Higher education, Vocational training and R&D laboratories. Its use is particularly adapted to study robotics and programming in the context of industry 4.0.","6dof,affordable,arm,co-bot,dynamixel,education,kinetic,melodic,moveit,raspberry pi,research"
100,Nox,ground,https://github.com/RBinsonB/Nox_robot,http://wiki.ros.org/Robots/Nox,Nox is a DIY differential drive robot which uses SLAM (gmapping) with a Kinect to navigate in its environment. It is powered by ROS running on a Raspberry Pi 3 Model B and an Arduino Mega controlling two DC motors with encoders.,"arduino,diff-drive,diy,kinect,low cost,mobile base,navigation,raspberry pi,slam"
101,Oculus Prime,ground,http://www.xaxxon.com/oculusprime/slamnavigator,http://wiki.ros.org/Robots/Oculus_Prime,"Oculus Prime SLAM Navigator is a low cost, open-source mobile robot available from Xaxxon Technologies, ready for ROS applications -- with auto-charging, ROS navigation, and internet tele-operation.","ground,wheeled,autonomous,research,skidsteer,mobile robot,education"
102,Open Rover,ground,https://roverrobotics.com/,http://wiki.ros.org/Robots/rover_robotics,"The Open Rover is designed for companies looking for a rugged affordable robot to build on top of, where 100's or 1000's of robots can be deployed with minimal maintanance cost.","Affordable,Outdoor,ROS2,Rugged,ground,indoor,industrial,mobile base"
103,OpenCR,component,http://emanual.robotis.com/docs/en/parts/controller/opencr10/,http://wiki.ros.org/opencr,OpenCR means Open-source Control Module for ROS. OpenCR is developed for ROS embedded systems to provide completely open-source hardware and software.,"kinetic,melodic,computation,embedded board,microcontroller,education,research,robotis,dynamixel"
104,OpenManipulator,manipulator,http://emanual.robotis.com/docs/en/platform/openmanipulator/,http://wiki.ros.org/open_manipulator,"ROS-enabled OpenManipulator is a full open robot platform consisting of OpenSoftware, OpenHardware and OpenCR(Embedded board)​.","kinetic,melodic,ground,arm,manipulator,education,research,platform,robotis,dynamixel"
105,Otto Bock SensorHand,component,,http://wiki.ros.org/Robots/sensorhand_speed,SensorHand Speed is a hand prosthetics product developed by Otto Bock.,"hand,prosthetics"
106,PR2,ground,http://www.willowgarage.com/pages/pr2/overview,http://wiki.ros.org/Robots/PR2,The PR2 is a state of the art mobile manipulator.,"cturtle,fuerte,hydro,indigo,indoor,ground,mobile manipulator"
107,Panther,ground,https://store.husarion.com/products/panther,http://wiki.ros.org/Robots/Husarion-Panther,"Panther is an industrial grade, professional UGV designed with outdoor environment in mind. It is an autonomous, open source robot platform running on ROS (Robot Operating System). Depending on the use-case it can be equipped with a LIDAR, RGB-D camera, robotic arm and other hardware. It can be used in a variety of applications such as agriculture, logistics, rescue, inspection and more.","autonomous,education,ground,lidar,mobile base,research,wireless,unmanned ground vehicle,ROS2"
