query_id,description,desired_package,package_description,features,robot,sensor,function,characteristics,repo,category,node,message,service,action,launch,robot_tag,,without characteristics feature
24,turtlebot2 create maps with gmapping algorithm,turtlebot_navigation,turtlebot_navigation,"robot:turtlebot2
func: create maps
chara: navigation
launch:gmapping_demo.launch",Turtlebot2,,create maps,,,,,,,,gmapping_demo.launch,,1,2
25,visualize turtlebot2 with rviz,turtlebot_rviz_launchers,Launchers for visualizing TurtleBot,"robot: turtlebot2
func: visualize turtlebot2
chara: rviz",Turtlebot2,,visualize turtlebot2,,,,,,,,,,1,1
26,use joysticks or keyboard to teleoperate tb2,turtlebot_teleop,Provides teleoperation using joysticks or keyboard.,"func:teleoperate turtlebot2
chara:use joysticks",Turtlebot2,,use joysticks,,,,,,,,,,1,1
27,save the map,map_server,map_server provides the,"map,server,map_saver",,,save the map,,,,,,,,,,1,NA
28,modify parameter with rqt plugin,rqt_reconfigure,"This rqt plugin succeeds former dynamic_reconfigure's GUI    (reconfigure_gui), and provides the way to view and edit the parameters    that are accessible via dynamic_reconfigure.","chara: rqt plugin
func: modify the parameters",,,modify the parameters,,,,,,,,,,1,1
29,start Baxter in Gazebo world,baxter_gazebo,Baxter Gazebo plugins and launch files,"robot: baxter
chara: gazebo",,,,,,,,,,,,,1,NA
30,metapackage for baxter simulation,baxter_simulator,Metapackage - Baxter Research Robot Gazebo Simulation,"robot: baxter
chara: simulation
cate: metapackage",,,,,,meta_package,,,,,,,1,NA
31,compensate the gravity for baxter in gazebo,baxter_sim_kinematics,"Baxter Kinematics for the FK, IK and the gravity compensation calculations","robot: baxter
func: compensate the gravity
chara: gazebo",,,,,,,,,,,,,8,NA
32,simulate the hardware interfaces for Baxter in Gazebo,baxter_sim_hardware,Publishes the state information and emulates few hardware interfaces for use with Baxter    in Gazebo,"robot: baxter
func: simulate the hardware interfaces
chara: gazebo",,,simulate the hardware interfaces,,,,,,,,,,1,NA
33,baxter samples in gazebo,baxter_sim_examples,The baxter_sim_examples package,"robot: baxter
chara: samples, gazebo",,,,,,,,,,,,,NA,NA
34,baxter controller in gazebo,baxter_sim_controllers,Baxter specific controllers for Gazebo use,"robot: baxter
chara: controller, gazebo",,,,,,,,,,,,,NA,NA
35,description package for baxter robot,baxter_description,Description of Baxter Research Robot from Rethink Robotics.    This package contains the URDF and meshes describing Baxter.,"robot: baxter
chara: URDF, mesh
cate: description",,,,,,description_package,,,,,,,1,NA
36,Message package for baxter,baxter_core_msgs,Messages and Services required for communication with the Baxter    Research Robot from Rethink Robotics.,"robot: baxter
cate: message",,,,,,message_package,,,,,,,1,NA
37,teleoperate hector quadrotor with joystick,hector_quadrotor_teleop,hector_quadrotor_teleop enables quadrotor flying with a joystick by     processing joy/Joy messages and translating them to geometry_msgs/Twist.,"chara: hector quadrotor, joystick",,,,,,,,,,,,,NA,NA
38,supply plugins for hector quadrotor in gazebo,hector_quadrotor_gazebo_plugins,hector_quadrotor_gazebo_plugins provides gazebo plugins for using quadrotors in gazebo.     The hector_gazebo_ros_baro sensor plugin simulates an altimeter based on barometric pressure.     hector_quadrotor_simple_controller is a simple controller allowing to command the quadrotor's velocity     using a geometry_msgs/Twist message for teleoperation just by means of applying forces and torques to the model.,"func: supply plugins
cate: gazebo, hector quadrotor",,,supply plugins,,,,,,,,,,1,NA
39,start the hector quadrotor in gazebo simulator,hector_quadrotor_gazebo,hector_quadrotor_gazebo provides a quadrotor model for the gazebo simulator.     It can be commanded using geometry_msgs/Twist messages.,"chara: quadrotor, heactor, gazebo",,,,,,,,,,,,,1,NA
40,describe the hector quadrotor UAV with URDF model,hector_quadrotor_description,hector_quadrotor_description provides an URDF model of a quadrotor UAV.,"func: URDF model
chara: quadrotor UAV, heactor quadrotor
cate: description",,,URDF model,,,description_package,,,,,,,1,3
41,demonstrations for hector quadrotor,hector_quadrotor_demo,hector_quadrotor_demo contains various launch files and needed dependencies for demonstration of the hector_quadrotor stack (indoor/outdoor flight in gazebo etc.),"chara: demonstration, heator quadrotor",,,,,,,,,,,,,1,NA
42,demonstrations for crazyflie,crazyflie_demo,"Examples on how to use the crazyflie package (teleoperation, rviz integration)","robot: crazyflie
chara: demostration",crazyflie,,,,,,,,,,,,1,5
43,driver package for crazyflie,crazyflie_driver,ROS driver for Crazyflie Nano Quadcopter from Bitcraze,"robot: crazyflie
chara: driver",crazyflie,,,,,,,,,,,,1,1
44,description package to provide URDF model for crazyflie robot,crazyflie_description,URDF Model for the Crazyflie Nano Quadcopter from Bitcraze,"robot: crazyflie
chara: URDF model
cate: description",crazyflie,,,,,description_package,,,,,,,1,1
45,PID controller for navigation of crazyflie,crazyflie_controller,Controller to fly a Crazyflie in a space with location feedback (such as motion capture).,"robot: crazyflie
func: navigation
chara: PID controller",crazyflie,,navigation,,,,,,,,,,1,1
46,package that includes tools for bebop,bebop_tools,Miscellaneous tools for bebop_autonomy metapackage,"chara: bebop, tools",,,,,,,,,,,,,1,NA
47,Message package for bebop robot,bebop_msgs,Common message definitions for bebop_autonomy,"chara: bebop
cate: message",,,,,,message_package,,,,,,,1,NA
48,package that includes bebop_driver_node node,bebop_driver,"ROS driver for Parrot Bebop drone, based on Parrot’s official ARDroneSDK3","chara: bebop
node: bebop_driver_node",,,,,,,bebop_driver_node,,,,,,3,NA
49,description package for bebop robot,bebop_description,URDF robot description for Parrot Bebop Drones,"chara: bebop, URDF
cate: description",,,,,,description_package,,,,,,,1,NA
50,use python to implement rosserial protocol,rosserial_python,A Python-based implementation of the rosserial protocol.,"chara: python, rosserial protocol",,,,,,,,,,,,,1,NA
51,"save audio from microphone or mp3 file, and play the audio",audio_capture,Transports audio from a source to a destination. Audio sources can come      from a microphone or file. The destination can play the audio or save it      to an mp3 file.,"func: save audio, play audio 
chara: microphone, mp3 file, audio",,,"save audio,play audio",,,,,,,,,,1,1
52,play the audio,audio_play,Outputs audio to a speaker from a source node.,"chara: play audio, audio",,,,,,,,,,,,,2,NA
54,Message package for audio,audio_common_msgs,Messages for transmitting audio via ROS,"chara: audio
cate: message",,,,,,message_package,,,,,,,1,NA
55,audio monitor of rospeex based on browser,rospeex_webaudiomonitor,This package provides a browser-based waveform monitor of rospeex's (beta version).    This package requires an external web browser: Google Chrome or Firefox.,"func: audio monitor based on browser
chara: rospeex, web monitor",,rospeex,audio monitor based on browser,,,,,,,,,,1,2
63,detect faces from images,face_detector,Face detection in images.,"chara: detect faces, image",,,,,,,,,,,,,NA,NA
64,plot scalar data,rqt_plot,rqt_plot provides a GUI plugin visualizing numeric values in a 2D plot using different plotting backends.,,,,,,,,,,,,,,4,NA
65,visualize multiple graphs separately with rqt,rqt_gui,rqt_gui provides the main to start an instance of the ROS integrated graphical user interface provided by qt_gui.,,,,graphical user interface,,,,,,,,,,1,1
66,view multiple images in one window,rqt_image_view,rqt_image_view provides a GUI plugin for displaying images using image_transport.,,,,,,,,,,,,,,NA,NA
67,visualize 3d data in 3d world,rqt_rviz,rqt_rviz provides a GUI plugin embedding,,,,visualize 3d data,,,,,,,,,,NA,NA
68,"visualize, filter and analyze log messages",rqt_console,rqt_console provides a GUI plugin for displaying and filtering ROS messages.,,,,"visualize,filter,analyze log messages",,,,,,,,,,NA,NA
69,view the computation graph of nodes,rqt_graph,rqt_graph provides a GUI plugin for visualizing the ROS      computation graph.,,,,view the computation graph,,,,,,,,,,4,9
71,open gazebo,gazebo_ros,Provides ROS plugins that offer message and service publishers for interfacing with,,,,open gazebo,,,,,,,,,,NA,NA
72,transform the coordinateframes,tf,"tf is a package that lets the user keep track of multiple coordinateframes over time. tf maintains the relationship between coordinateframes in a tree structure buffered in time, and lets the usertransform points, vectors, etc between any two coordinate frames atany desired point in time.",,,,transform the coordinateframes,,,,,,,,,,13,NA
73,teleoperate robot by twist messages with keyboard,teleop_twist_keyboard,Generic keyboard teleop for twist robots.,,,,teleoperate robot,,,,,,,,,,NA,NA
74,locating the robot in 2d environment,amcl,"amcl is a probabilistic localization system for a robot moving in 2D. It implements the adaptive (or KLD-sampling) Monte Carlo localization approach (as described by Dieter Fox), which uses a particle filter to track the pose of a robot against a known map.",,,,locating the robot,,,,,,,,,,NA,NA
75,get feedbacks from executing robot commands,actionlib,"The actionlib stack provides a standardized interface for    interfacing with preemptable tasks. Examples of this include moving    the base to a target location, performing a laser scan and returning    the resulting point cloud, detecting the handle of a door, etc.",,,,get feedbacks,,,,,,,,,,NA,NA
76,start the setup helper for moveit,moveit_setup_assistant,Generates a configuration package that makes it easy to use MoveIt!,,,,start the setup helper,,,,,,,,,,4,NA
78,start the server for grasp with moveit,moveit_simple_grasps,A basic grasp generator for simple objects such as blocks or cylinders for use with the MoveIt! pick and place pipeline.     Does not consider friction cones or other dynamics.,,,,start the server,,,,,,,,,,NA,NA
79,use arduino with rosserial protocol,rosserial_arduino,rosserial for Arduino/AVR platforms.,,,,,,,,,,,,,,1,NA
80,use razor_imu with GUI,razor_imu_9dof,"razor_imu_9dof is a package that provides a ROS driver for the Sparkfun OpenLog Artemis, 9DoF Razor IMU M0, 9DOF Razor IMU and 9DOF Sensor Stick. It also provides Arduino firmware that runs on the board, and which must be installed on it for the system to work. A node which displays the attitude (roll, pitch and yaw) of the board (or any IMU) is provided for testing.",,,,use razor_imu,,,,,,,,,,NA,NA
81,driver package for Xsens MTi imu,xsens_driver,ROS Driver for XSens MT/MTi/MTi-G devices.,,,Xsens MTi node,,,,,,,,,,,1,1
83,driver for hokuyo scanning range finder,hokuyo_node,,sensor: Hokuyo Scanning range finder,,Hokuyo Scanning range finder,,,,,,,,,,,NA,NA
84,launch openni device,openni_launch,"Launch files to open an OpenNI device and load all nodelets to      convert raw depth/RGB/IR streams to depth images, disparity images,      and (registered) point clouds.",,,,launch openni device,,,,,,,,,,1,1
85,description package for openni device,openni_description,Model files of OpenNI device.,,,,,,,description_package,,,,,,,1,NA
86,driver package for Kinect,openni_camera,"A ROS driver for OpenNI depth (+ RGB) cameras. These include:        Microsoft Kinect,       PrimeSense PSDK,       ASUS Xtion Pro and Pro Live    The driver publishes raw depth, RGB, and IR image streams.",,,,,,,,,,,,,,NA,NA
87,run driver for camera1394,camera1394,"ROS driver for devices supporting the IEEE 1394 Digital Camera    (IIDC) protocol. Supports the ROS image_pipeline, using libdc1394    for device access.",,,,,,,,,,,,,,7,NA
88,plugins for transporting images,image_transport_plugins,"A set of plugins for publishing and subscribing to sensor_msgs/Image topics    in representations other than raw pixel data. For example, for viewing a    stream of images off-robot, a video codec will give much lower bandwidth    and latency. For low frame rate tranport of high-definition images, you    might prefer sending them as JPEG or PNG-compressed form.",,,,transporting images,,,,,,,,,,3,NA
89,process stereo camera pairs,camera1394stereo,This is a modified version of the ROS driver for devices supporting the IEEE     1394 Digital Camera (IIDC) protocol in package camera1394.     It adds support for reading from stereo pairs.,,,,process stereo camera pairs,,,,,,,,,,5,NA
90,track moving edges with ViSP,visp_tracker,Wraps the ViSP moving edge tracker provided by the ViSP visual    servoing library into a ROS package.    This computer vision algorithm computes the pose (i.e. position    and orientation) of an object in an image. It is fast enough to    allow object online tracking using a camera.,,,,track moving edges,,,,,,,,,,1,1
91,model based tracker with ViSP,visp_auto_tracker,"Online automated pattern-based object tracker relying on visual servoing.    visp_auto_tracker wraps model-based trackers provided by ViSP visual    servoing library into a ROS package. The tracked object should have a    QRcode of Flash code pattern. Based on the pattern, the object is    automaticaly detected. The detection allows then to initialise the    model-based trackers. When lost of tracking achieves a new detection    is performed that will be used to re-initialize the tracker.    This computer vision algorithm computes the pose (i.e. position and    orientation) of an object in an image. It is fast enough to allow    object online tracking using a camera.",,,,model based tracker,,,,,,,,,,2,NA
92,interface ViSP with ROS,visp_ros,An extension of ViSP library that interfaces ROS into usual ViSP classes and a basket of generic ros nodes based on ViSP.,,,,interface ViSP,,,,,,,,,,1,2
93,recognize objects,object_recognition_ros,"object_recognition_core contains tools to launch several recognition pipelines, train objects, store models ...",,,,,,,,,,,,,,NA,NA
94,visual-based odometry,viso2_ros,"This is the ROS wrapper for libviso2, library for visual odometry (see package libviso2).",,,,,,,,,,,,,,17,NA
95,visual odometry,libfovis,Fast Odometry from VISion,,,,,,,,,,,,,,8,NA
96,Message package for point cloud library,pcl_msgs,Package containing PCL (Point Cloud Library)-related ROS messages.,,,,,,,message_package,,,,,,,1,NA
97,record the point cloud messages,pcl_recorder,The pcl_recorder package,,,,record the point cloud messages,,,,,,,,,,NA,NA
98,PCL interface for ROS,pcl_ros,PCL (Point Cloud Library) ROS interface stack. PCL-ROS is the preferred  bridge for 3D applications involving n-D Point Clouds and 3D geometry  processing in ROS.,,,,,,,,,,,,,,8,NA
99,start mir-100 robot in gazebo simulator,mir_gazebo,Simulation specific launch and configuration files for the MiR100 robot.,"Simulation,MiR100 robot,gazebo",mir,,start mir-100 robot in,,,,,,,,,,1,NA
100,run hector_mapping algorithm for mir100 robot,mir_navigation,"Launch and configuration files for move_base, localization etc. on the MiR robot.","move_base, localization,MiR robot, navigation,hector_mapping",mir,,run mapping algorithm,,,,,,,,,,1,NA
