query_id,description,desired_package,package_description,query_text,,,url,time used(ms) 1-10,time used(ms) 11-20,time used(ms) 1-20
12,visualize 3d markers,rviz,3D visualization tool for ROS.,visualize 3d markers,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=visualize 3d markers&section=pkgs&p=1,240,,
13,launch the driver for V4L usb camera,usb_cam,A ROS Driver for V4L USB Cameras,"V4L USB Cameras,driver",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=V4L USB Cameras,driver&section=pkgs&p=1",208,,
14,direct ROS topics,topic_tools,"Tools for directing, throttling, selecting, and otherwise messing with    ROS topics at a meta level. None of the programs in this package actually    know about the topics whose streams they are altering; instead, these    tools deal with messages as generic binary blobs. This means they can be    applied to any ROS topic.","ROS topics,directing",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=ROS topics,directing&section=pkgs&p=1",101,,
15,interface with Dynamixel servo motors,dynamixel_motor,"This stack contains packages that are used to interface with Robotis    Dynamixel line of servo motors. This stack was tested with and fully    supports AX-12, AX-18, RX-24, RX-28, MX-28, RX-64, MX-64, EX-106 and    MX-106 models.",Dynamixel interface with servo motors,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=Dynamixel interface with servo motors&section=pkgs&p=1,150,,
16,tutorials for dynamixel robot,dynamixel_tutorials,Example configuration and launch file for dynamixel_motor stack.,Dynamixel tutorial,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=Dynamixel tutorial&section=pkgs&p=1,255,113,368
17,convert OpenCV images to ROS image messages,cv_bridge,"This contains CvBridge, which converts between ROS    Image messages and OpenCV images.","convert images,ROS Image messages,OpenCV images",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=convert images,ROS Image messages,OpenCV images&section=pkgs&p=1",126,,
18,calibrate parameters for image with OpenCV,image_geometry,"`image_geometry` contains C++ and Python libraries for interpreting images    geometrically. It interfaces the calibration parameters in sensor_msgs/CameraInfo    messages with OpenCV functions such as image rectification, much as cv_bridge    interfaces ROS sensor_msgs/Image with OpenCV data types.","interpreting images,calibration OpenCV,sensor_msgs/Image",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=interpreting images,calibration OpenCV,sensor_msgs/Image&section=pkgs&p=1",94,,
19,simulate turtlebot2 in gazebo,turtlebot_gazebo,Gazebo launchers and worlds for TurtleBot simulation,"Turtlebot2 Gazebo,simulation",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=Turtlebot2 Gazebo,simulation&section=pkgs&p=1",99,,
20,open dashboard for turtlebot2,turtlebot_dashboard,Launchers for the base-specific dashboards,Turtlebot2 dashboard,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=Turtlebot2 dashboard&section=pkgs&p=1,150,,
21,automatic docking for kobuki,kobuki_auto_docking,"Automatic docking for Kobuki:	    Users owning a docking station for Kobuki can use this tool to let Kobuki find its nest autonomously.",Kobuki automatic docking,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=Kobuki automatic docking&section=pkgs&p=1,68,,
22,view the real time image,image_view,A simple viewer for ROS image topics. Includes a specialized viewer  for stereo + disparity images.,"simple viewer,ROS image topics",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=simple viewer,ROS image topics&section=pkgs&p=1",122,,
23,start the tb2 robot,turtlebot_bringup,turtlebot_bringup provides roslaunch scripts for starting the TurtleBot base functionality.,starting the TurtleBot2,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=starting the TurtleBot2&section=pkgs&p=1,71,,
24,turtlebot2 create maps with gmapping algorithm,turtlebot_navigation,turtlebot_navigation,Turtlebot2 create maps navigation,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=Turtlebot2 create maps navigation&section=pkgs&p=1,103,,
25,visualize turtlebot2 with rviz,turtlebot_rviz_launchers,Launchers for visualizing TurtleBot,visualize turtlebot2 rviz,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=visualize turtlebot2 rviz&section=pkgs&p=1,63,,
26,use joysticks or keyboard to teleoperate tb2,turtlebot_teleop,Provides teleoperation using joysticks or keyboard.,teleoperate turtlebot2 use joysticks,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=teleoperate turtlebot2 use joysticks&section=pkgs&p=1,124,,
27,save the map,map_server,map_server provides the,save the map,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=save the map&section=pkgs&p=1,295,248,543
28,modify parameter with rqt plugin,rqt_reconfigure,"This rqt plugin succeeds former dynamic_reconfigure's GUI    (reconfigure_gui), and provides the way to view and edit the parameters    that are accessible via dynamic_reconfigure.","modify the parameters,rqt plugin",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=modify the parameters,rqt plugin&section=pkgs&p=1",78,,
29,start Baxter in Gazebo world,baxter_gazebo,Baxter Gazebo plugins and launch files,baxter gazebo,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=baxter gazebo&section=pkgs&p=1,262,246,508
30,metapackage for baxter simulation,baxter_simulator,Metapackage - Baxter Research Robot Gazebo Simulation,baxter simulation,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=baxter simulation&section=pkgs&p=1,214,254,468
31,compensate the gravity for baxter in gazebo,baxter_sim_kinematics,"Baxter Kinematics for the FK, IK and the gravity compensation calculations",baxter compensate the gravity gazebo,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=baxter compensate the gravity gazebo&section=pkgs&p=1,83,,
32,simulate the hardware interfaces for Baxter in Gazebo,baxter_sim_hardware,Publishes the state information and emulates few hardware interfaces for use with Baxter    in Gazebo,baxter simulate the hardware interfaces gazebo,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=baxter simulate the hardware interfaces gazebo&section=pkgs&p=1,78,,
33,baxter samples in gazebo,baxter_sim_examples,The baxter_sim_examples package,"baxter samples,gazebo",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=baxter samples,gazebo&section=pkgs&p=1",71,,
34,baxter controller in gazebo,baxter_sim_controllers,Baxter specific controllers for Gazebo use,"baxter controller,gazebo",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=baxter controller,gazebo&section=pkgs&p=1",73,,
35,description package for baxter robot,baxter_description,Description of Baxter Research Robot from Rethink Robotics.    This package contains the URDF and meshes describing Baxter.,"baxter URDF,mesh",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=baxter URDF,mesh&section=pkgs&p=1",72,,
36,Message package for baxter,baxter_core_msgs,Messages and Services required for communication with the Baxter    Research Robot from Rethink Robotics.,baxter,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=baxter&section=pkgs&p=1,272,192,464
37,teleoperate hector quadrotor with joystick,hector_quadrotor_teleop,hector_quadrotor_teleop enables quadrotor flying with a joystick by     processing joy/Joy messages and translating them to geometry_msgs/Twist.,"hector quadrotor,joystick",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=hector quadrotor,joystick&section=pkgs&p=1",78,,
38,supply plugins for hector quadrotor in gazebo,hector_quadrotor_gazebo_plugins,hector_quadrotor_gazebo_plugins provides gazebo plugins for using quadrotors in gazebo.     The hector_gazebo_ros_baro sensor plugin simulates an altimeter based on barometric pressure.     hector_quadrotor_simple_controller is a simple controller allowing to command the quadrotor's velocity     using a geometry_msgs/Twist message for teleoperation just by means of applying forces and torques to the model.,"supply plugins gazebo,hector quadrotor",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=supply plugins gazebo,hector quadrotor&section=pkgs&p=1",89,,
39,start the hector quadrotor in gazebo simulator,hector_quadrotor_gazebo,hector_quadrotor_gazebo provides a quadrotor model for the gazebo simulator.     It can be commanded using geometry_msgs/Twist messages.,"quadrotor,heactor,gazebo",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=quadrotor,heactor,gazebo&section=pkgs&p=1",56,,
40,describe the hector quadrotor UAV with URDF model,hector_quadrotor_description,hector_quadrotor_description provides an URDF model of a quadrotor UAV.,"URDF model,quadrotor UAV,heactor quadrotor",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=URDF model,quadrotor UAV,heactor quadrotor&section=pkgs&p=1",77,,
41,demonstrations for hector quadrotor,hector_quadrotor_demo,hector_quadrotor_demo contains various launch files and needed dependencies for demonstration of the hector_quadrotor stack (indoor/outdoor flight in gazebo etc.),"demonstration,heator quadrotor",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=demonstration,heator quadrotor&section=pkgs&p=1",90,,
42,demonstrations for crazyflie,crazyflie_demo,"Examples on how to use the crazyflie package (teleoperation, rviz integration)",crazyflie demostration,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=crazyflie demostration&section=pkgs&p=1,66,,
43,driver package for crazyflie,crazyflie_driver,ROS driver for Crazyflie Nano Quadcopter from Bitcraze,crazyflie driver,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=crazyflie driver&section=pkgs&p=1,282,,
44,description package to provide URDF model for crazyflie robot,crazyflie_description,URDF Model for the Crazyflie Nano Quadcopter from Bitcraze,crazyflie URDF model,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=crazyflie URDF model&section=pkgs&p=1,61,,
45,PID controller for navigation of crazyflie,crazyflie_controller,Controller to fly a Crazyflie in a space with location feedback (such as motion capture).,crazyflie navigation PID controller,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=crazyflie navigation PID controller&section=pkgs&p=1,70,,
46,package that includes tools for bebop,bebop_tools,Miscellaneous tools for bebop_autonomy metapackage,"bebop,tools",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=bebop,tools&section=pkgs&p=1",132,,
47,Message package for bebop robot,bebop_msgs,Common message definitions for bebop_autonomy,bebop,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=bebop&section=pkgs&p=1,292,294,586
48,package that includes bebop_driver_node node,bebop_driver,"ROS driver for Parrot Bebop drone, based on Parrot’s official ARDroneSDK3",bebop bebop_driver_node,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=bebop bebop_driver_node&section=pkgs&p=1,155,,
49,description package for bebop robot,bebop_description,URDF robot description for Parrot Bebop Drones,"bebop,URDF",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=bebop,URDF&section=pkgs&p=1",67,,
50,use python to implement rosserial protocol,rosserial_python,A Python-based implementation of the rosserial protocol.,"python,rosserial protocol",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=python,rosserial protocol&section=pkgs&p=1",77,,
51,"save audio from microphone or mp3 file, and play the audio",audio_capture,Transports audio from a source to a destination. Audio sources can come      from a microphone or file. The destination can play the audio or save it      to an mp3 file.,"save audio,play audio, microphone,mp3 file,audio",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=save audio,play audio, microphone,mp3 file,audio&section=pkgs&p=1",228,,
52,play the audio,audio_play,Outputs audio to a speaker from a source node.,"play audio,audio",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=play audio,audio&section=pkgs&p=1",216,,
53,translate command from ROS topic,sound_play,sound_play provides a ROS node that translates commands on a ROS topic (,translate commaond,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=translate commaond&section=pkgs&p=1,64,,
54,Message package for audio,audio_common_msgs,Messages for transmitting audio via ROS,audio,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=audio&section=pkgs&p=1,342,359,701
55,audio monitor of rospeex based on browser,rospeex_webaudiomonitor,This package provides a browser-based waveform monitor of rospeex's (beta version).    This package requires an external web browser: Google Chrome or Firefox.,"audio monitor based on browser rospeex,web monitor",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=audio monitor based on browser rospeex,web monitor&section=pkgs&p=1",82,,
56,give some examples for rospeex,rospeex_samples,This package provides some rospeex samples.,give rospeex examples,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=give rospeex examples&section=pkgs&p=1,55,,
57,Message package for rospeex,rospeex_msgs,This package defines messages used in rospeex.,rospeex,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=rospeex&section=pkgs&p=1,136,,
58,provide launches for rospeex,rospeex_launch,This package launches rospeex's core nodes.,provide launches rospeex,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=provide launches rospeex&section=pkgs&p=1,68,,
59,package that includes interface libraries for rospeex,rospeex_if,This package provides interface libraries on C++ and Python.,include interface library rospeex,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=include interface library rospeex&section=pkgs&p=1,61,,
60,package that includes core nodes for rospeex,rospeex_core,This package provides rospeex's core nodes.,include core node rospeex,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=include core node rospeex&section=pkgs&p=1,78,,
61,audio monitor of rospeex,rospeex_audiomonitor,This package provides a stable waveform monitor of rospeex's (recommended).    This package requires an external library: qtmobility-dev.,audio monitor rospeex,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=audio monitor rospeex&section=pkgs&p=1,60,,
62,metapackage for rospeex,rospeex,Meta package for rospeex packages.,rospeex,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=rospeex&section=pkgs&p=1,124,,
63,detect faces from images,face_detector,Face detection in images.,"detect faces,image",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=detect faces,image&section=pkgs&p=1",216,258,474
64,plot scalar data,rqt_plot,rqt_plot provides a GUI plugin visualizing numeric values in a 2D plot using different plotting backends.,"plot,scalar data",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=plot,scalar data&section=pkgs&p=1",219,,
65,visualize multiple graphs separately with rqt,rqt_gui,,"visualize multiple graphs,rqt",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=visualize multiple graphs,rqt&section=pkgs&p=1",63,,
66,view multiple images in one window,rqt_image_view,rqt_image_view provides a GUI plugin for displaying images using image_transport.,view multiple images,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=view multiple images&section=pkgs&p=1,344,279,623
67,visualize 3d data in 3d world,rqt_rviz,,visualize 3d data 3d world,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=visualize 3d data 3d world&section=pkgs&p=1,327,301,628
68,"visualize, filter and analyze log messages",rqt_console,,"visualize,filter,analyze log messages",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=visualize,filter,analyze log messages&section=pkgs&p=1",67,,
69,view the state graph of nodes,rqt_graph,,"view the state graph nodes,graph",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=view the state graph nodes,graph&section=pkgs&p=1",156,,
70,create robot model,xacro,,create robot model,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=create robot model&section=pkgs&p=1,310,325,635
71,open gazebo,gazebo_ros,Provides ROS plugins that offer message and service publishers for interfacing with,open gazebo,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=open gazebo&section=pkgs&p=1,267,320,587
72,transform the coordinateframes,tf,"tf is a package that lets the user keep track of multiple coordinateframes over time. tf maintains the relationship between coordinateframes in a tree structure buffered in time, and lets the usertransform points, vectors, etc between any two coordinate frames atany desired point in time.",transform the coordinateframes,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=transform the coordinateframes&section=pkgs&p=1,55,,
73,teleoperate robot by twist messages with keyboard,teleop_twist_keyboard,Generic keyboard teleop for twist robots.,"teleoperate robot twist messages,keyboard",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=teleoperate robot twist messages,keyboard&section=pkgs&p=1",70,,
74,locating the robot in 2d environment,amcl,,locating the robot 2d environment,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=locating the robot 2d environment&section=pkgs&p=1,75,,
75,get feedbacks from executing robot commands,actionlib,,get feedbacks executing robot commands,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=get feedbacks executing robot commands&section=pkgs&p=1,71,,
76,start the setup helper for moveit,moveit_setup_assistant,Generates a configuration package that makes it easy to use MoveIt!,start the setup helper moveit,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=start the setup helper moveit&section=pkgs&p=1,76,,
77,provide base markers,aruco_ros,The ARUCO Library has been developed by the Ava group of the Univeristy of Cordoba(Spain).    It provides real-time marker based 3D pose estimation using AR markers.,provide base markers,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=provide base markers&section=pkgs&p=1,265,259,524
78,start the server for grasp with moveit,moveit_simple_grasps,A basic grasp generator for simple objects such as blocks or cylinders for use with the MoveIt! pick and place pipeline.     Does not consider friction cones or other dynamics.,"start the server grasp,moveit",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=start the server grasp,moveit&section=pkgs&p=1",83,,
79,use arduino with rosserial protocol,rosserial_arduino,rosserial for Arduino/AVR platforms.,use arduino rosserial protocol,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=use arduino rosserial protocol&section=pkgs&p=1,72,,
80,use razor_imu with GUI,razor_imu_9dof,"razor_imu_9dof is a package that provides a ROS driver for the Sparkfun OpenLog Artemis, 9DoF Razor IMU M0, 9DOF Razor IMU and 9DOF Sensor Stick. It also provides Arduino firmware that runs on the board, and which must be installed on it for the system to work. A node which displays the attitude (roll, pitch and yaw) of the board (or any IMU) is provided for testing.",use razor_imu GUI,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=use razor_imu GUI&section=pkgs&p=1,88,,
81,driver package for Xsens MTi imu,xsens_driver,ROS Driver for XSens MT/MTi/MTi-G devices.,Xsens MTi node driver,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=Xsens MTi node driver&section=pkgs&p=1,117,,
82,parse nmea strings and publish GPS messages,nmea_navsat_driver,Package to parse NMEA strings and publish a very simple GPS message. Does not     require or use the GPSD deamon.,"parse nmea strings,publish GPS messages",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=parse nmea strings,publish GPS messages&section=pkgs&p=1",74,,
83,driver for hokuyo scanning range finder,hokuyo_node,,Hokuyo Scanning range finder driver,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=Hokuyo Scanning range finder driver&section=pkgs&p=1,68,,
84,launch openni device,openni_launch,"Launch files to open an OpenNI device and load all nodelets to      convert raw depth/RGB/IR streams to depth images, disparity images,      and (registered) point clouds.",launch openni device,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=launch openni device&section=pkgs&p=1,120,,
85,description package for openni device,openni_description,Model files of OpenNI device.,openni device,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=openni device&section=pkgs&p=1,266,273,539
86,driver package for Kinect,openni_camera,"A ROS driver for OpenNI depth (+ RGB) cameras. These include:        Microsoft Kinect,       PrimeSense PSDK,       ASUS Xtion Pro and Pro Live    The driver publishes raw depth, RGB, and IR image streams.","driver,Kinect",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=driver,Kinect&section=pkgs&p=1",229,260,489
87,run driver for camera1394,camera1394,"ROS driver for devices supporting the IEEE 1394 Digital Camera    (IIDC) protocol. Supports the ROS image_pipeline, using libdc1394    for device access.","driver,camera1394",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=driver,camera1394&section=pkgs&p=1",165,,
88,plugins for transporting images,image_transport_plugins,"A set of plugins for publishing and subscribing to sensor_msgs/Image topics    in representations other than raw pixel data. For example, for viewing a    stream of images off-robot, a video codec will give much lower bandwidth    and latency. For low frame rate tranport of high-definition images, you    might prefer sending them as JPEG or PNG-compressed form.",transporting images plugins,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=transporting images plugins&section=pkgs&p=1,259,199,458
89,process stereo camera pairs,camera1394stereo,This is a modified version of the ROS driver for devices supporting the IEEE     1394 Digital Camera (IIDC) protocol in package camera1394.     It adds support for reading from stereo pairs.,process stereo camera pairs,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=process stereo camera pairs&section=pkgs&p=1,69,,
90,track moving edges with ViSP,visp_tracker,Wraps the ViSP moving edge tracker provided by the ViSP visual    servoing library into a ROS package.    This computer vision algorithm computes the pose (i.e. position    and orientation) of an object in an image. It is fast enough to    allow object online tracking using a camera.,track moving edges ViSP,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=track moving edges ViSP&section=pkgs&p=1,75,,
91,model based tracker with ViSP,visp_auto_tracker,"Online automated pattern-based object tracker relying on visual servoing.    visp_auto_tracker wraps model-based trackers provided by ViSP visual    servoing library into a ROS package. The tracked object should have a    QRcode of Flash code pattern. Based on the pattern, the object is    automaticaly detected. The detection allows then to initialise the    model-based trackers. When lost of tracking achieves a new detection    is performed that will be used to re-initialize the tracker.    This computer vision algorithm computes the pose (i.e. position and    orientation) of an object in an image. It is fast enough to allow    object online tracking using a camera.",model based tracker ViSP,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=model based tracker ViSP&section=pkgs&p=1,204,,
92,interface ViSP with ROS,visp_ros,An extension of ViSP library that interfaces ROS into usual ViSP classes and a basket of generic ros nodes based on ViSP.,interface ViSP,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=interface ViSP&section=pkgs&p=1,273,,
93,recognize objects,object_recognition_ros,"object_recognition_core contains tools to launch several recognition pipelines, train objects, store models ...",recognize objects,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=recognize objects&section=pkgs&p=1,257,231,488
94,visual-based odometry,viso2_ros,"This is the ROS wrapper for libviso2, library for visual odometry (see package libviso2).",visual-based odometry,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=visual-based odometry&section=pkgs&p=1,223,261,484
95,visual odometry,libfovis,Fast Odometry from VISion,visual odometry,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=visual odometry&section=pkgs&p=1,256,263,519
96,Message package for point cloud library,pcl_msgs,Package containing PCL (Point Cloud Library)-related ROS messages.,point cloud library,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=point cloud library&section=pkgs&p=1,270,272,542
97,record the point cloud messages,pcl_recorder,The pcl_recorder package,record the point cloud messages,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=record the point cloud messages&section=pkgs&p=1,150,,
98,PCL interface for ROS,pcl_ros,PCL (Point Cloud Library) ROS interface stack. PCL-ROS is the preferred  bridge for 3D applications involving n-D Point Clouds and 3D geometry  processing in ROS.,"PCL interface ,ROS",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=PCL interface ,ROS&section=pkgs&p=1",169,,
99,start mir-100 robot in gazebo simulator,mir_gazebo,Simulation specific launch and configuration files for the MiR100 robot.,start mir-100 robot in gazebo,https://github.com/search?q=,&section=pkgs,https://github.com/search?q=start mir-100 robot in gazebo&section=pkgs&p=1,83,,
100,run hector_mapping algorithm for mir100 robot,mir_navigation,"Launch and configuration files for move_base, localization etc. on the MiR robot.","run mapping algorithm MiR robot,hector_mapping",https://github.com/search?q=,&section=pkgs,"https://github.com/search?q=run mapping algorithm MiR robot,hector_mapping&section=pkgs&p=1",77,,
,,,,,,,,,average,541.0454545
,,,,,,,,,standard deviation,82.37687914
