query_id,description,desired_package,package_description,features,robot,sensor,function,characteristics,repo,category,node,message,service,action,launch,robot_tag,,function
45,PID controller for navigation of crazyflie,crazyflie_controller,Controller to fly a Crazyflie in a space with location feedback (such as motion capture).,"robot: crazyflie
func: navigation
chara: PID controller",crazyflie,,navigation,PID controller,,,,,,,,,NA,crazyflie navigation PID controller
46,package that includes tools for bebop,bebop_tools,Miscellaneous tools for bebop_autonomy metapackage,"chara: bebop, tools",,,,"bebop,tools",,,,,,,,,NA,"bebop,tools"
47,Message package for bebop robot,bebop_msgs,Common message definitions for bebop_autonomy,"chara: bebop
cate: message",,,,bebop,,message_package,,,,,,,NA,bebop
48,package that includes bebop_driver_node node,bebop_driver,"ROS driver for Parrot Bebop drone, based on Parrot’s official ARDroneSDK3","chara: bebop
node: bebop_driver_node",,,,bebop,,,bebop_driver_node,,,,,,NA,bebop bebop_driver_node
49,description package for bebop robot,bebop_description,URDF robot description for Parrot Bebop Drones,"chara: bebop, URDF
cate: description",,,,"bebop,URDF",,description_package,,,,,,,NA,"bebop,URDF"
50,use python to implement rosserial protocol,rosserial_python,A Python-based implementation of the rosserial protocol.,"chara: python, rosserial protocol",,,,"python,rosserial protocol",,,,,,,,,NA,"python,rosserial protocol"
51,"save audio from microphone or mp3 file, and play the audio",audio_capture,Transports audio from a source to a destination. Audio sources can come      from a microphone or file. The destination can play the audio or save it      to an mp3 file.,"func: save audio, play audio 
chara: microphone, mp3 file, audio",,,"save audio,play audio","microphone,mp3 file,audio",,,,,,,,,NA,"save audio,play audio, microphone,mp3 file,audio"
52,play the audio,audio_play,Outputs audio to a speaker from a source node.,"chara: play audio, audio",,,,"play audio,audio",,,,,,,,,NA,"play audio,audio"
53,translate command from ROS topic,sound_play,sound_play provides a ROS node that translates commands on a ROS topic (,func: translate commaond,,,translate commaond,,,,,,,,,,NA,translate commaond
54,Message package for audio,audio_common_msgs,Messages for transmitting audio via ROS,"chara: audio
cate: message",,,,audio,,message_package,,,,,,,NA,audio
55,audio monitor of rospeex based on browser,rospeex_webaudiomonitor,This package provides a browser-based waveform monitor of rospeex's (beta version).    This package requires an external web browser: Google Chrome or Firefox.,"func: audio monitor based on browser
chara: rospeex, web monitor",,,audio monitor based on browser,"rospeex,web monitor",,,,,,,,,NA,"audio monitor based on browser rospeex,web monitor"
56,give some examples for rospeex,rospeex_samples,This package provides some rospeex samples.,"func: give rospeex examples
chara: rospeex",,,give rospeex examples,rospeex,,,,,,,,,NA,give rospeex examples
57,Message package for rospeex,rospeex_msgs,This package defines messages used in rospeex.,"chara: rospeex
cate: message",,,,rospeex,,message_package,,,,,,,NA,rospeex
58,provide launches for rospeex,rospeex_launch,This package launches rospeex's core nodes.,"func: provide launches
chara: rospeex",,,provide launches,rospeex,,,,,,,,,NA,provide launches rospeex
59,package that includes interface libraries for rospeex,rospeex_if,This package provides interface libraries on C++ and Python.,"func: include interface library
chara: rospeex",,,include interface library,rospeex,,,,,,,,,NA,include interface library rospeex
60,package that includes core nodes for rospeex,rospeex_core,This package provides rospeex's core nodes.,"func: include core node
chara: rospeex",,,include core node,rospeex,,,,,,,,,NA,include core node rospeex
61,audio monitor of rospeex,rospeex_audiomonitor,This package provides a stable waveform monitor of rospeex's (recommended).    This package requires an external library: qtmobility-dev.,"func: audio monitor
chara: rospeex",,,audio monitor,rospeex,,,,,,,,,NA,audio monitor rospeex
62,metapackage for rospeex,rospeex,Meta package for rospeex packages.,"chara: rospeex
cate: metapackage",,,,rospeex,,meta_package,,,,,,,NA,rospeex
63,detect faces from images,face_detector,Face detection in images.,"chara: detect faces, image",,,,"detect faces,image",,,,,,,,,NA,"detect faces,image"
64,plot scalar data,rqt_plot,rqt_plot provides a GUI plugin visualizing numeric values in a 2D plot using different plotting backends.,,,,,"plot,scalar data",,,,,,,,,NA,"plot,scalar data"
65,visualize multiple graphs separately with rqt,rqt_gui,,,,,,"visualize multiple graphs,rqt",,,,,,,,,NA,"visualize multiple graphs,rqt"
66,view multiple images in one window,rqt_image_view,rqt_image_view provides a GUI plugin for displaying images using image_transport.,,,,,view multiple images,,,,,,,,,NA,view multiple images
67,visualize 3d data in 3d world,rqt_rviz,,,,,visualize 3d data,3d world,,,,,,,,,NA,visualize 3d data 3d world
68,"visualize, filter and analyze log messages",rqt_console,,,,,"visualize,filter,analyze log messages",log messages,,,,,,,,,NA,"visualize,filter,analyze log messages"
69,view the state graph of nodes,rqt_graph,,,,,view the state graph,"nodes,graph",,,,,,,,,NA,"view the state graph nodes,graph"
70,create robot model,xacro,,,,,create robot model,,,,,,,,,,NA,create robot model
71,open gazebo,gazebo_ros,Provides ROS plugins that offer message and service publishers for interfacing with,,,,open gazebo,gazebo,,,,,,,,,NA,open gazebo
72,transform the coordinateframes,tf,"tf is a package that lets the user keep track of multiple coordinateframes over time. tf maintains the relationship between coordinateframes in a tree structure buffered in time, and lets the usertransform points, vectors, etc between any two coordinate frames atany desired point in time.",,,,transform the coordinateframes,transform the coordinateframes,,,,,,,,,NA,transform the coordinateframes
73,teleoperate robot by twist messages with keyboard,teleop_twist_keyboard,Generic keyboard teleop for twist robots.,,,,teleoperate robot,"twist messages,keyboard",,,,,,,,,NA,"teleoperate robot twist messages,keyboard"
74,locating the robot in 2d environment,amcl,,,,,locating the robot,2d environment,,,,,,,,,NA,locating the robot 2d environment
75,get feedbacks from executing robot commands,actionlib,,,,,get feedbacks,executing robot commands,,,,,,,,,NA,get feedbacks executing robot commands
76,start the setup helper for moveit,moveit_setup_assistant,Generates a configuration package that makes it easy to use MoveIt!,,,,start the setup helper,moveit,,,,,,,,,NA,start the setup helper moveit
77,provide base markers,aruco_ros,The ARUCO Library has been developed by the Ava group of the Univeristy of Cordoba(Spain).    It provides real-time marker based 3D pose estimation using AR markers.,,,,provide base markers,provide base markers,,,,,,,,,NA,provide base markers
78,start the server for grasp with moveit,moveit_simple_grasps,A basic grasp generator for simple objects such as blocks or cylinders for use with the MoveIt! pick and place pipeline.     Does not consider friction cones or other dynamics.,,,,start the server,"grasp,moveit",,,,,,,,,NA,"start the server grasp,moveit"
79,use arduino with rosserial protocol,rosserial_arduino,rosserial for Arduino/AVR platforms.,,,,use arduino,rosserial protocol,,,,,,,,,NA,use arduino rosserial protocol
80,use razor_imu with GUI,razor_imu_9dof,"razor_imu_9dof is a package that provides a ROS driver for the Sparkfun OpenLog Artemis, 9DoF Razor IMU M0, 9DOF Razor IMU and 9DOF Sensor Stick. It also provides Arduino firmware that runs on the board, and which must be installed on it for the system to work. A node which displays the attitude (roll, pitch and yaw) of the board (or any IMU) is provided for testing.",,,,use razor_imu,GUI,,,,,,,,,NA,use razor_imu GUI
81,driver package for Xsens MTi imu,xsens_driver,ROS Driver for XSens MT/MTi/MTi-G devices.,,,Xsens MTi node,,driver,,,,,,,,,2,Xsens MTi node driver
82,parse nmea strings and publish GPS messages,nmea_navsat_driver,Package to parse NMEA strings and publish a very simple GPS message. Does not     require or use the GPSD deamon.,,,,"parse nmea strings,publish GPS messages",,,,,,,,,,NA,"parse nmea strings,publish GPS messages"
83,driver for hokuyo scanning range finder,hokuyo_node,,sensor: Hokuyo Scanning range finder,,Hokuyo Scanning range finder,,driver,,,,,,,,,NA,Hokuyo Scanning range finder driver
84,launch openni device,openni_launch,"Launch files to open an OpenNI device and load all nodelets to      convert raw depth/RGB/IR streams to depth images, disparity images,      and (registered) point clouds.",,,,launch openni device,openni device,,,,,,,,,NA,launch openni device
85,description package for openni device,openni_description,Model files of OpenNI device.,,,,,openni device,,description_package,,,,,,,NA,openni device
86,driver package for Kinect,openni_camera,"A ROS driver for OpenNI depth (+ RGB) cameras. These include:        Microsoft Kinect,       PrimeSense PSDK,       ASUS Xtion Pro and Pro Live    The driver publishes raw depth, RGB, and IR image streams.",,,,,"driver,Kinect",,,,,,,,,NA,"driver,Kinect"
87,run driver for camera1394,camera1394,"ROS driver for devices supporting the IEEE 1394 Digital Camera    (IIDC) protocol. Supports the ROS image_pipeline, using libdc1394    for device access.",,,,,"driver,camera1394",,,,,,,,,1,"driver,camera1394"
88,plugins for transporting images,image_transport_plugins,"A set of plugins for publishing and subscribing to sensor_msgs/Image topics    in representations other than raw pixel data. For example, for viewing a    stream of images off-robot, a video codec will give much lower bandwidth    and latency. For low frame rate tranport of high-definition images, you    might prefer sending them as JPEG or PNG-compressed form.",,,,transporting images,plugins,,,,,,,,,NA,transporting images plugins
89,process stereo camera pairs,camera1394stereo,This is a modified version of the ROS driver for devices supporting the IEEE     1394 Digital Camera (IIDC) protocol in package camera1394.     It adds support for reading from stereo pairs.,,,,process stereo camera pairs,camera1394,,,,,,,,,2,process stereo camera pairs
90,track moving edges with ViSP,visp_tracker,Wraps the ViSP moving edge tracker provided by the ViSP visual    servoing library into a ROS package.    This computer vision algorithm computes the pose (i.e. position    and orientation) of an object in an image. It is fast enough to    allow object online tracking using a camera.,,,,track moving edges,ViSP,,,,,,,,,NA,track moving edges ViSP
91,model based tracker with ViSP,visp_auto_tracker,"Online automated pattern-based object tracker relying on visual servoing.    visp_auto_tracker wraps model-based trackers provided by ViSP visual    servoing library into a ROS package. The tracked object should have a    QRcode of Flash code pattern. Based on the pattern, the object is    automaticaly detected. The detection allows then to initialise the    model-based trackers. When lost of tracking achieves a new detection    is performed that will be used to re-initialize the tracker.    This computer vision algorithm computes the pose (i.e. position and    orientation) of an object in an image. It is fast enough to allow    object online tracking using a camera.",,,,model based tracker,ViSP,,,,,,,,,NA,model based tracker ViSP
92,interface ViSP with ROS,visp_ros,An extension of ViSP library that interfaces ROS into usual ViSP classes and a basket of generic ros nodes based on ViSP.,,,,interface ViSP,ROS,,,,,,,,,2,interface ViSP
93,recognize objects,object_recognition_ros,"object_recognition_core contains tools to launch several recognition pipelines, train objects, store models ...",,,,recognize objects,,,,,,,,,,NA,recognize objects
94,visual-based odometry,viso2_ros,"This is the ROS wrapper for libviso2, library for visual odometry (see package libviso2).",,,,visual-based odometry,visual-based odometry,,,,,,,,,NA,visual-based odometry
95,visual odometry,libfovis,Fast Odometry from VISion,,,,visual odometry,visual odometry,,,,,,,,,NA,visual odometry
96,Message package for point cloud library,pcl_msgs,Package containing PCL (Point Cloud Library)-related ROS messages.,,,,,point cloud library,,message_package,,,,,,,NA,point cloud library
97,record the point cloud messages,pcl_recorder,The pcl_recorder package,,,,record the point cloud messages,record,,,,,,,,,NA,record the point cloud messages
98,PCL interface for ROS,pcl_ros,PCL (Point Cloud Library) ROS interface stack. PCL-ROS is the preferred  bridge for 3D applications involving n-D Point Clouds and 3D geometry  processing in ROS.,,,,,"PCL interface ,ROS",,,,,,,,,1,"PCL interface ,ROS"
99,start mir-100 robot in gazebo simulator,mir_gazebo,Simulation specific launch and configuration files for the MiR100 robot.,"Simulation,MiR100 robot,gazebo",,,start mir-100 robot in,"mir-100,gazebo",,,,,,,,,NA,start mir-100 robot in gazebo
100,run hector_mapping algorithm for mir100 robot,mir_navigation,"Launch and configuration files for move_base, localization etc. on the MiR robot.","move_base, localization,MiR robot, navigation,hector_mapping",,,run mapping algorithm,"MiR robot,hector_mapping",,,,,,,,,NA,"run mapping algorithm MiR robot,hector_mapping"
