query_id,description,desired_package,package_description,features,robot,sensor,function,characteristics,repo,category,node,message,service,action,launch,robot_tag,
42,demonstrations for crazyflie,crazyflie_demo,"Examples on how to use the crazyflie package (teleoperation, rviz integration)","robot: crazyflie
chara: demostration",crazyflie,,,demostration,,,,,,,,,1
43,driver package for crazyflie,crazyflie_driver,ROS driver for Crazyflie Nano Quadcopter from Bitcraze,"robot: crazyflie
chara: driver",crazyflie,,,driver,,,,,,,,,1
44,description package to provide URDF model for crazyflie robot,crazyflie_description,URDF Model for the Crazyflie Nano Quadcopter from Bitcraze,"robot: crazyflie
chara: URDF model
cate: description",crazyflie,,,URDF model,,description_package,,,,,,,1
45,PID controller for navigation of crazyflie,crazyflie_controller,Controller to fly a Crazyflie in a space with location feedback (such as motion capture).,"robot: crazyflie
func: navigation
chara: PID controller",crazyflie,,navigation,PID controller,,,,,,,,,1
46,package that includes tools for bebop,bebop_tools,Miscellaneous tools for bebop_autonomy metapackage,"chara: bebop, tools",,,,"bebop,tools",,,,,,,,,1
47,Message package for bebop robot,bebop_msgs,Common message definitions for bebop_autonomy,"chara: bebop
cate: message",,,,bebop,,message_package,,,,,,,1
48,package that includes bebop_driver_node node,bebop_driver,"ROS driver for Parrot Bebop drone, based on Parrot’s official ARDroneSDK3","chara: bebop
node: bebop_driver_node",,,,bebop,,,bebop_driver_node,,,,,,3
49,description package for bebop robot,bebop_description,URDF robot description for Parrot Bebop Drones,"chara: bebop, URDF
cate: description",,,,"bebop,URDF",,description_package,,,,,,,1
50,use python to implement rosserial protocol,rosserial_python,A Python-based implementation of the rosserial protocol.,"chara: python, rosserial protocol",,,,"python,rosserial protocol",,,,,,,,,1
51,"save audio from microphone or mp3 file, and play the audio",audio_capture,Transports audio from a source to a destination. Audio sources can come      from a microphone or file. The destination can play the audio or save it      to an mp3 file.,"func: save audio, play audio 
chara: microphone, mp3 file, audio",,,"save audio,play audio","microphone,mp3 file,audio",,,,,,,,,1
52,play the audio,audio_play,Outputs audio to a speaker from a source node.,"chara: play audio, audio",,,,"play audio,audio",,,,,,,,,2
53,translate command from ROS topic,sound_play,sound_play provides a ROS node that translates commands on a ROS topic (,func: translate commaond,,,translate commaond,,,,,,,,,,NA
54,Message package for audio,audio_common_msgs,Messages for transmitting audio via ROS,"chara: audio
cate: message",,,,audio,,message_package,,,,,,,1
55,audio monitor of rospeex based on browser,rospeex_webaudiomonitor,This package provides a browser-based waveform monitor of rospeex's (beta version).    This package requires an external web browser: Google Chrome or Firefox.,"func: audio monitor based on browser
chara: rospeex, web monitor",,rospeex,audio monitor based on browser,web monitor,,,,,,,,,1
56,give some examples for rospeex,rospeex_samples,This package provides some rospeex samples.,"func: give rospeex examples
chara: rospeex",,rospeex,give rospeex examples,,,,,,,,,,1
57,Message package for rospeex,rospeex_msgs,This package defines messages used in rospeex.,"chara: rospeex
cate: message",,rospeex,,,,message_package,,,,,,,1
58,provide launches for rospeex,rospeex_launch,This package launches rospeex's core nodes.,"func: provide launches
chara: rospeex",,rospeex,provide launches,,,,,,,,,,6
59,package that includes interface libraries for rospeex,rospeex_if,This package provides interface libraries on C++ and Python.,"func: include interface library
chara: rospeex",,rospeex,include interface library,,,,,,,,,,1
60,package that includes core nodes for rospeex,rospeex_core,This package provides rospeex's core nodes.,"func: include core node
chara: rospeex",,rospeex,include core node,,,,,,,,,,3
61,audio monitor of rospeex,rospeex_audiomonitor,This package provides a stable waveform monitor of rospeex's (recommended).    This package requires an external library: qtmobility-dev.,"func: audio monitor
chara: rospeex",,rospeex,audio monitor,,,,,,,,,,1
62,metapackage for rospeex,rospeex,Meta package for rospeex packages.,"chara: rospeex
cate: metapackage",,rospeex,,,,meta_package,,,,,,,1
63,detect faces from images,face_detector,Face detection in images.,"chara: detect faces, image",,,,"detect faces,image",,,,,,,,,NA
64,plot scalar data,rqt_plot,rqt_plot provides a GUI plugin visualizing numeric values in a 2D plot using different plotting backends.,,,,,"plot,scalar data",,,,,,,,,4
65,visualize multiple graphs separately with rqt,rqt_gui,rqt_gui provides the main to start an instance of the ROS integrated graphical user interface provided by qt_gui.,,,,graphical user interface,"visualize multiple graphs,rqt",,,,,,,,,1
66,view multiple images in one window,rqt_image_view,rqt_image_view provides a GUI plugin for displaying images using image_transport.,,,,,view multiple images,,,,,,,,,NA
67,visualize 3d data in 3d world,rqt_rviz,rqt_rviz provides a GUI plugin embedding,,,,visualize 3d data,3d world,,,,,,,,,NA
68,"visualize, filter and analyze log messages",rqt_console,rqt_console provides a GUI plugin for displaying and filtering ROS messages.,,,,"visualize,filter,analyze log messages",log messages,,,,,,,,,NA
69,view the computation graph of nodes,rqt_graph,rqt_graph provides a GUI plugin for visualizing the ROS      computation graph.,,,,view the computation graph,"nodes,graph",,,,,,,,,4
70,create robot model,xacro,"Xacro (XML Macros)    Xacro is an XML macro language. With xacro, you can construct shorter and more readable XML files by using macros that expand to larger XML expressions.",,,,create robot model,,,,,,,,,,NA
71,open gazebo,gazebo_ros,Provides ROS plugins that offer message and service publishers for interfacing with,,,,open gazebo,gazebo,,,,,,,,,NA
72,transform the coordinateframes,tf,"tf is a package that lets the user keep track of multiple coordinateframes over time. tf maintains the relationship between coordinateframes in a tree structure buffered in time, and lets the usertransform points, vectors, etc between any two coordinate frames atany desired point in time.",,,,transform the coordinateframes,transform the coordinateframes,,,,,,,,,13
73,teleoperate robot by twist messages with keyboard,teleop_twist_keyboard,Generic keyboard teleop for twist robots.,,,,teleoperate robot,"twist messages,keyboard",,,,,,,,,NA
74,locating the robot in 2d environment,amcl,"amcl is a probabilistic localization system for a robot moving in 2D. It implements the adaptive (or KLD-sampling) Monte Carlo localization approach (as described by Dieter Fox), which uses a particle filter to track the pose of a robot against a known map.",,,,locating the robot,2d environment,,,,,,,,,NA
75,get feedbacks from executing robot commands,actionlib,"The actionlib stack provides a standardized interface for    interfacing with preemptable tasks. Examples of this include moving    the base to a target location, performing a laser scan and returning    the resulting point cloud, detecting the handle of a door, etc.",,,,get feedbacks,executing robot commands,,,,,,,,,NA
76,start the setup helper for moveit,moveit_setup_assistant,Generates a configuration package that makes it easy to use MoveIt!,,,,start the setup helper,moveit,,,,,,,,,4
77,provide base markers,aruco_ros,The ARUCO Library has been developed by the Ava group of the Univeristy of Cordoba(Spain).    It provides real-time marker based 3D pose estimation using AR markers.,,,,"provide base markers,3d marker",,,,,,,,,,NA
78,start the server for grasp with moveit,moveit_simple_grasps,A basic grasp generator for simple objects such as blocks or cylinders for use with the MoveIt! pick and place pipeline.     Does not consider friction cones or other dynamics.,,,,start the server,"grasp,moveit",,,,,,,,,NA
79,use arduino with rosserial protocol,rosserial_arduino,rosserial for Arduino/AVR platforms.,,,,,"use arduino,rosserial protocol",,,,,,,,,1
80,use razor_imu with GUI,razor_imu_9dof,"razor_imu_9dof is a package that provides a ROS driver for the Sparkfun OpenLog Artemis, 9DoF Razor IMU M0, 9DOF Razor IMU and 9DOF Sensor Stick. It also provides Arduino firmware that runs on the board, and which must be installed on it for the system to work. A node which displays the attitude (roll, pitch and yaw) of the board (or any IMU) is provided for testing.",,,,use razor_imu,GUI,,,,,,,,,NA
81,driver package for Xsens MTi imu,xsens_driver,ROS Driver for XSens MT/MTi/MTi-G devices.,,,Xsens MTi node,,driver,,,,,,,,,1
82,parse nmea strings and publish GPS messages,nmea_navsat_driver,Package to parse NMEA strings and publish a very simple GPS message. Does not     require or use the GPSD deamon.,,,,"parse nmea strings,publish GPS messages",,,,,,,,,,1
83,driver for hokuyo scanning range finder,hokuyo_node,,sensor: Hokuyo Scanning range finder,,Hokuyo Scanning range finder,,driver,,,,,,,,,NA
84,launch openni device,openni_launch,"Launch files to open an OpenNI device and load all nodelets to      convert raw depth/RGB/IR streams to depth images, disparity images,      and (registered) point clouds.",,,,launch openni device,openni device,,,,,,,,,1
85,description package for openni device,openni_description,Model files of OpenNI device.,,,,,openni device,,description_package,,,,,,,1
86,driver package for Kinect,openni_camera,"A ROS driver for OpenNI depth (+ RGB) cameras. These include:        Microsoft Kinect,       PrimeSense PSDK,       ASUS Xtion Pro and Pro Live    The driver publishes raw depth, RGB, and IR image streams.",,,,,"driver,Kinect",,,,,,,,,NA
87,run driver for camera1394,camera1394,"ROS driver for devices supporting the IEEE 1394 Digital Camera    (IIDC) protocol. Supports the ROS image_pipeline, using libdc1394    for device access.",,,,,"driver,camera1394",,,,,,,,,7
88,plugins for transporting images,image_transport_plugins,"A set of plugins for publishing and subscribing to sensor_msgs/Image topics    in representations other than raw pixel data. For example, for viewing a    stream of images off-robot, a video codec will give much lower bandwidth    and latency. For low frame rate tranport of high-definition images, you    might prefer sending them as JPEG or PNG-compressed form.",,,,transporting images,plugins,,,,,,,,,3
89,process stereo camera pairs,camera1394stereo,This is a modified version of the ROS driver for devices supporting the IEEE     1394 Digital Camera (IIDC) protocol in package camera1394.     It adds support for reading from stereo pairs.,,,,process stereo camera pairs,camera1394,,,,,,,,,5
90,track moving edges with ViSP,visp_tracker,Wraps the ViSP moving edge tracker provided by the ViSP visual    servoing library into a ROS package.    This computer vision algorithm computes the pose (i.e. position    and orientation) of an object in an image. It is fast enough to    allow object online tracking using a camera.,,,,track moving edges,ViSP,,,,,,,,,1
91,model based tracker with ViSP,visp_auto_tracker,"Online automated pattern-based object tracker relying on visual servoing.    visp_auto_tracker wraps model-based trackers provided by ViSP visual    servoing library into a ROS package. The tracked object should have a    QRcode of Flash code pattern. Based on the pattern, the object is    automaticaly detected. The detection allows then to initialise the    model-based trackers. When lost of tracking achieves a new detection    is performed that will be used to re-initialize the tracker.    This computer vision algorithm computes the pose (i.e. position and    orientation) of an object in an image. It is fast enough to allow    object online tracking using a camera.",,,,model based tracker,ViSP,,,,,,,,,2
92,interface ViSP with ROS,visp_ros,An extension of ViSP library that interfaces ROS into usual ViSP classes and a basket of generic ros nodes based on ViSP.,,,,interface ViSP,ROS,,,,,,,,,1
93,recognize objects,object_recognition_ros,"object_recognition_core contains tools to launch several recognition pipelines, train objects, store models ...",,,,,recognize objects,,,,,,,,,NA
94,visual-based odometry,viso2_ros,"This is the ROS wrapper for libviso2, library for visual odometry (see package libviso2).",,,,,visual-based odometry,,,,,,,,,17
95,visual odometry,libfovis,Fast Odometry from VISion,,,,,visual odometry,,,,,,,,,8
96,Message package for point cloud library,pcl_msgs,Package containing PCL (Point Cloud Library)-related ROS messages.,,,,,point cloud library,,message_package,,,,,,,1
97,record the point cloud messages,pcl_recorder,The pcl_recorder package,,,,record the point cloud messages,record,,,,,,,,,NA
98,PCL interface for ROS,pcl_ros,PCL (Point Cloud Library) ROS interface stack. PCL-ROS is the preferred  bridge for 3D applications involving n-D Point Clouds and 3D geometry  processing in ROS.,,,,,"PCL interface ,ROS",,,,,,,,,8
99,start mir-100 robot in gazebo simulator,mir_gazebo,Simulation specific launch and configuration files for the MiR100 robot.,"Simulation,MiR100 robot,gazebo",mir,,start mir-100 robot in,"mir-100,gazebo",,,,,,,,,1
100,run hector_mapping algorithm for mir100 robot,mir_navigation,"Launch and configuration files for move_base, localization etc. on the MiR robot.","move_base, localization,MiR robot, navigation,hector_mapping",mir,,run mapping algorithm,"MiR robot,hector_mapping",,,,,,,,,1
